,code,std_3y,std_1y,var_3y,risk_std_3y,risk_std_1y,risk_var_3y
0,K55101B40934,0.026193545324957056,0.031280088889314925,0.07393334636719247,5등급,5등급,4등급
1,K55101B43714,0.025927878270142025,0.033216555787574424,0.06712149969456482,5등급,5등급,4등급
2,K55101B95151,0.026926721955899995,0.03413168752224773,0.0578575544247081,5등급,5등급,4등급
3,K55101B95169,0.026620939321512563,0.034150390547833365,0.05640726998974896,5등급,5등급,4등급
4,K55101BA9675,0.020878482145600428,0.012923080810823231,0.021995996557849045,5등급,5등급,5등급
5,K55101BA9683,0.0257815004232022,0.01119252333122458,0.022101405224539065,5등급,5등급,5등급
6,K55101BA9691,0.028403502899538274,0.012131154021722733,0.022198902829203348,5등급,5등급,5등급
7,K55101BA9709,0.024678556781824484,0.011441561128294496,0.022352674776311632,5등급,5등급,5등급
8,K55101BA9717,0.023140548394509332,0.011519169801163664,0.02231823220346283,5등급,5등급,5등급
9,K55101BA9725,0.0240481043677582,0.012282621285587617,0.022118202031092455,5등급,5등급,5등급
10,K55101BA9733,0.0214442634674448,0.011712169395350008,0.022308210719485525,5등급,5등급,5등급
11,K55101BA9741,0.023714306181973756,0.011988130358975665,0.02222829634513452,5등급,5등급,5등급
12,K55101BH5320,0.02198301463687988,0.011676318685335701,0.022243153490844502,5등급,5등급,5등급
13,K55101BJ4834,0.027876484156803556,0.03237716025686931,0.06548097031584875,5등급,5등급,4등급
14,K55101BL2982,0.00414293491660788,0.004958174363198216,0.006307123112106678,6등급,6등급,5등급
15,K55101BQ9602,0.03182530508020746,0.04749174592973431,0.07649715454000151,5등급,5등급,4등급
16,K55101BT5714,0.026545326978489093,0.028590127369397908,0.0608836896748072,5등급,5등급,4등급
17,K55101BT5789,0.028816742785297816,0.034410521309616374,0.06639581047406844,5등급,5등급,4등급
18,K55101BT5797,0.0290362024178437,0.03440251758392363,0.07095137594553245,5등급,5등급,4등급
19,K55101BT7249,0.020409244633211067,0.011987300696595355,0.02221965091958931,5등급,5등급,5등급
20,K55101BT7256,0.02095575223385232,0.011724699422094633,0.022296264946551583,5등급,5등급,5등급
21,K55101BT7264,0.020096074211973836,0.011865690742456114,0.022239602126766345,5등급,5등급,5등급
22,K55101BT7272,0.02079284130243528,0.011902560467310516,0.022221070324276098,5등급,5등급,5등급
23,K55101BV9522,0.020705655352148217,0.023028450639368463,0.042182066009644005,5등급,5등급,5등급
25,K55101BV9563,0.020070392566001957,0.02303772531207714,0.04231206493072821,5등급,5등급,5등급
26,K55101BV9571,0.020678599772291018,0.023041430383472495,0.04218375832263165,5등급,5등급,5등급
27,K55101BV9589,0.024479073435356786,0.023034753614121,0.042019740325532566,5등급,5등급,5등급
28,K55101BV9696,0.02668668916663402,0.03414140918883496,0.05613506125023711,5등급,5등급,4등급
29,K55101C53182,0.022806781605131925,0.028620937497595013,0.0567192855638674,5등급,5등급,4등급
30,K55101C87420,0.027067764913408246,0.023087620887103373,0.0418393893321541,5등급,5등급,5등급
31,K55101CC0358,0.020043708001218616,0.028635428606309236,0.05200598381803105,5등급,5등급,4등급
32,K55101CC3162,0.02034076126899689,0.02862528836381518,0.054033263448011945,5등급,5등급,4등급
33,K55101CC3188,0.020050616420426937,0.02864329167256567,0.05749258774458966,5등급,5등급,4등급
34,K55101CC3196,0.02174257316558455,0.02863439379634893,0.05720937053072117,5등급,5등급,4등급
35,K55101CC3204,0.021864086079776544,0.028625576052660563,0.05702975862899113,5등급,5등급,4등급
36,K55101CH6251,0.027074816085396178,0.02303839227692257,0.042313764049693024,5등급,5등급,5등급
37,K55101CH6269,0.02835574430964505,0.023034042363388112,0.04218471538098836,5등급,5등급,5등급
38,K55101CH6384,0.028065273932844092,0.02303847523241069,0.042104570184931626,5등급,5등급,5등급
39,K55101CU3590,0.013095020426158267,0.018397862250626163,0.03167889947306962,5등급,5등급,5등급
40,K55101CU3608,0.019966503288426498,0.028634063784328197,0.051645805896219595,5등급,5등급,4등급
41,K55101CU3624,0.021154050741154576,0.0286334451858823,0.057080781114568414,5등급,5등급,4등급
42,K55101CU3632,0.019376984161162798,0.02862377563830092,0.05709485714386525,5등급,5등급,4등급
43,K55101CX0049,0.013227953974868369,0.012201128094103352,0.017494630278036837,5등급,5등급,5등급
44,K55101D06741,0.02831523644242743,0.03439242372269936,0.05801232814110887,5등급,5등급,4등급
45,K55101D18852,0.017677792962349552,0.02304466078481071,0.04269886924271214,5등급,5등급,5등급
46,K55101D21633,0.013194982957411285,0.012083018180966625,0.017541136364889146,5등급,5등급,5등급
47,K55101D34156,0.038250601094606776,0.05624458755834878,0.08511176540034951,5등급,4등급,4등급
48,K55101D85935,0.04175004073401661,0.01988300225464548,0.07547588178323275,5등급,5등급,4등급
49,K55101D86156,0.02189204192713286,0.007861776236569511,0.044979702417802615,5등급,5등급,5등급
50,K55101D86164,0.020730186794049338,0.007812592310653463,0.04534539869299755,5등급,5등급,5등급
51,K55101D86172,0.02074071112051806,0.00782577261955879,0.04500592613588945,5등급,5등급,5등급
52,K55101D86180,0.020737931370281616,0.00780885357637217,0.04604736909596512,5등급,5등급,5등급
53,K55101D86198,0.023227415868664898,0.006994435132579968,0.04549100123900832,5등급,5등급,5등급
54,K55101D86206,0.020817228806875785,0.007826970959379443,0.0447377931738085,5등급,5등급,5등급
55,K55101D86222,0.04142692821470825,0.019341854049043025,0.07456644001851738,5등급,5등급,4등급
56,K55101D86230,0.040144036681728675,0.019279945922469566,0.07157225245459536,5등급,5등급,4등급
57,K55101D86248,0.0402871110212564,0.019286544719810658,0.07118689273974181,5등급,5등급,4등급
58,K55101D86255,0.04005453824204315,0.01927316922658077,0.0723098805730369,5등급,5등급,4등급
59,K55101D86263,0.04475994170466012,0.02698142898738443,0.07451276674833061,5등급,5등급,4등급
60,K55101D86271,0.04045329621616423,0.019300431475327173,0.07087096596457194,5등급,5등급,4등급
61,K55101D86354,0.020742967223158684,0.007826231591754508,0.04499915347670504,5등급,5등급,5등급
62,K55101D86362,0.040303798970380965,0.019294640316257078,0.07111056723362685,5등급,5등급,4등급
63,K55101D95314,0.06610188564277802,0.08942837872131904,0.14022880476125058,4등급,4등급,3등급
64,K55101DH2820,0.07034747089504018,0.09288932566009342,0.16158149736138178,4등급,4등급,2등급
65,K55101DH2887,0.07035270369101407,0.0928972217460632,0.16175914155278684,4등급,4등급,2등급
66,K55101DT2552,0.020704738968133823,0.020704738968133823,0.04171244974604525,5등급,5등급,5등급
67,K55101DT2602,0.020708124312072616,0.020708124312072616,0.04190427603693293,5등급,5등급,5등급
68,K55101DT2610,0.020703128615420594,0.020703128615420594,0.0419005114432586,5등급,5등급,5등급
69,K55101DW2771,0.005843258128634317,0.005843258128634317,0.006635357663539663,5등급,5등급,5등급
70,K55102B03831,0.05218678379278646,0.05218678379278646,0.06448875889942958,4등급,4등급,4등급
