,code,std_3y,std_1y,var_3y,risk_std_3y,risk_std_1y,risk_var_3y
12,K55101BV3509,0.043111435123339314,0.05229496091270933,0.00043622371972206543,5등급,4등급,6등급
17,K55101CM2634,0.0049367990888031675,0.0049367990888031675,0.012365218260032281,6등급,6등급,5등급
29,K55102D80629,0.005253553817737506,0.0029968199339116923,0.0015836553278271777,5등급,6등급,6등급
40,K55105CF3330,0.00984902004506316,0.00984902004506316,0.012679515120461816,5등급,5등급,5등급
41,K55105CF8214,0.002657794030755944,0.0029382193506188076,0.008638684940593081,6등급,6등급,5등급
51,K55107DA3977,0.001216499437779062,0.001216499437779062,0.001845368692680843,6등급,6등급,6등급
52,K55107DM9780,0.009134786809902522,0.009134786809902522,0.014042920040487456,5등급,5등급,5등급
59,K55205BU9031,0.007789847533101643,0.007789847533101643,0.014428178718840202,5등급,5등급,5등급
71,K55207CR6096,0.0124623896949708,0.019023555687972864,0.0018007767755112642,5등급,5등급,6등급
108,K55214D20537,0.006978282501237441,0.0035445516197801187,0.01246971762985153,5등급,6등급,5등급
122,K55223BO2487,0.0041488148442309,0.00034513382642157653,0.0078250215186002,6등급,6등급,5등급
123,K55223BR5933,0.08745808039845834,0.09632228380516432,0.18240706521713212,4등급,4등급,2등급
124,K55223BR5966,0.08691902576858612,0.09568075294361249,0.18287662463714888,4등급,4등급,2등급
125,K55223BR6006,0.08679036134940285,0.09552164343911476,0.18301741417274986,4등급,4등급,2등급
126,K55223BS1113,0.08698562613664716,0.0957602596779615,0.18281055747623542,4등급,4등급,2등급
127,K55223BS1121,0.08892025518696996,0.12343871760639166,0.13268044899753567,4등급,3등급,3등급
131,K55223C06315,0.010972604714079915,0.03092827957543281,0.003283127050063404,5등급,5등급,6등급
135,K55223C06406,0.01120712354326903,0.03277033224770384,0.0005003743321960127,5등급,5등급,6등급
145,K55224BB4370,0.016261736094401655,0.011688016892811006,0.0011384555437435715,5등급,5등급,6등급
150,K55228DU2599,0.008062289209234536,0.008062289209234536,0.016738145705321436,5등급,5등급,5등급
151,K55229B65716,0.0069156769190526985,0.0069513355867040225,0.000529346788706858,5등급,5등급,6등급
155,K55229C99895,0.015447178894045616,0.013258440848972977,0.00040639625409440654,5등급,5등급,6등급
156,K55229CA1157,0.014649693795056205,0.012433396212628447,0.0004677600525211585,5등급,5등급,6등급
201,K55321CF8618,0.016559658784308026,0.016559658784308026,0.0005500905339074493,5등급,5등급,6등급
225,KR5101AQ9514,0.01047405219403148,0.008366396888674134,0.00010791721457605104,5등급,5등급,6등급
256,KR5105346195,0.003758658734461441,0.0021890656872817346,0.008555905360153845,6등급,6등급,5등급
271,KR5105AR1078,0.003121123898562503,0.004594798756148959,0.008348080915937922,6등급,6등급,5등급
296,KR5206517462,0.013016251727816867,0.015623732422207283,0.010998122853474028,5등급,5등급,5등급
300,KR5206575924,0.01418703214327656,0.023674205448387903,0.016906361046222552,5등급,5등급,5등급
381,KR5224796015,0.027654995365575006,0.027654995365575006,0.05987782291219522,5등급,5등급,4등급
382,KR5224921209,0.017547687682526753,0.013809629633672861,0.0012047689875176754,5등급,5등급,6등급
395,KR5227363623,0.005964640070291015,0.0025713688980025734,7.210976358991857e-05,5등급,6등급,6등급
400,KR5229370238,0.010728309471592739,0.011810157177803583,5.0515986161715155e-05,5등급,5등급,6등급
415,KR5233AQ2890,0.02166765711415138,0.029027448725548462,0.02728228145634648,5등급,5등급,5등급
425,KR5240877351,0.013088823123845898,0.0006957022077056342,0.0008604535345702498,5등급,6등급,6등급
430,KR5301275792,0.008896970563922918,0.012257208976141932,0.000864709715116457,5등급,5등급,6등급
434,KR5306522743,0.01815461849281027,0.01815461849281027,0.03048530546702697,5등급,5등급,5등급
435,KR5308956063,0.007196969284144401,0.0006793538108935381,0.0014114555172760064,5등급,6등급,6등급
