,code,std_3y,std_1y,var_3y,risk_std_3y,risk_std_1y,risk_var_3y
0,K55101AZ6913,0.24612312915376128,0.19166909558241277,0.6226062165614232,2등급,2등급,1등급
1,K55101B13881,0.2488461716798604,0.21123490768620654,0.47941254539958184,2등급,2등급,1등급
2,K55101B38276,0.2564837840456131,0.22827620836825901,0.5891115992543909,1등급,2등급,1등급
3,K55101B38284,0.248904943589481,0.22864500435903432,0.5879230087686051,2등급,2등급,1등급
4,K55101B38292,0.25090171129594013,0.22852051647451488,0.5909505800933962,1등급,2등급,1등급
5,K55101B38300,0.25272637322930064,0.22842756561186967,0.5904001461932371,1등급,2등급,1등급
6,K55101B41155,0.25936147947048904,0.22036047999057615,0.5776122626692621,1등급,2등급,1등급
7,K55101B41163,0.25262267353812323,0.22066345033232657,0.5804137279721572,1등급,2등급,1등급
8,K55101B41221,0.24792168075792972,0.23227326398580658,0.5502436635356686,2등급,2등급,1등급
9,K55101B54539,0.2788120948273213,0.26924425629217213,0.6131881650346896,1등급,1등급,1등급
10,K55101B90814,0.26544989617189046,0.2018909978001604,0.498474156785829,1등급,2등급,1등급
11,K55101B90822,0.25618078007943706,0.19949650580807263,0.5009531427732216,1등급,2등급,1등급
12,K55101B90830,0.25889853285874914,0.20012190775768424,0.500145028290112,1등급,2등급,1등급
13,K55101B90848,0.2604629262327233,0.20041224543715855,0.49982374067533225,1등급,2등급,1등급
14,K55101B91408,0.2767617617746405,0.20866972689155883,0.519005256019167,1등급,2등급,1등급
15,K55101BA8511,0.2946272524649537,0.2679611853864652,0.5598218771182314,1등급,1등급,1등급
16,K55101BB3412,0.2340293990504409,0.13658298188220644,0.23867791200132651,2등급,3등급,2등급
17,K55101BG2864,0.3240513235214436,0.31190213356076607,0.7466777211349589,1등급,1등급,1등급
18,K55101BG4597,0.25993838472219266,0.2188241558164102,0.4905718457570234,1등급,2등급,1등급
19,K55101BI4561,0.2517375228998892,0.21606249705908112,0.4907892424137787,1등급,2등급,1등급
20,K55101BJ4859,0.2500173910304622,0.20265623769490035,0.4782863094062892,1등급,2등급,1등급
21,K55101BJ4875,0.2547867194626554,0.10303686660521752,0.25260761187800096,1등급,3등급,1등급
22,K55101BJ8819,0.24289813873636662,0.20976564036547943,0.4813209433444413,2등급,2등급,1등급
23,K55101BM0357,0.2568102877891932,0.25814429040847353,0.589803138902387,1등급,1등급,1등급
24,K55101BP0727,0.25979832716725004,0.21886409026617598,0.4908646654145672,1등급,2등급,1등급
25,K55101BP0735,0.2674372079387599,0.16474360987265055,0.46032757615379244,1등급,2등급,1등급
26,K55101BP1063,0.24928372411341623,0.1884390167776025,0.5137870628435649,2등급,2등급,1등급
27,K55101BP1071,0.16192941383871143,0.24309894924191094,0.37222025775046463,2등급,2등급,1등급
28,K55101BP2244,0.2382855497973831,0.07923274558900596,0.21808188115347052,2등급,4등급,2등급
29,K55101BP2269,0.25702785450464793,0.2581529687270235,0.5899150087204329,1등급,1등급,1등급
30,K55101BQ0585,0.2565776839933649,0.22967318504241674,0.519096326637976,1등급,2등급,1등급
31,K55101BQ0593,0.26052707099013905,0.21965273722920003,0.5049306510345094,1등급,2등급,1등급
34,K55101BS3561,0.24895539579037507,0.2029286544523814,0.48017824011836086,2등급,2등급,1등급
35,K55101BS3579,0.2516936442473016,0.2027601078794512,0.4926045049239616,1등급,2등급,1등급
36,K55101BS3587,0.25005651232523646,0.20268520192121597,0.4788375458117003,1등급,2등급,1등급
37,K55101BS9170,0.2523494579708722,0.20275987795160136,0.5038374685615042,1등급,2등급,1등급
38,K55101BT7488,0.2574482636691429,0.25809717798517584,0.5891019377024379,1등급,1등급,1등급
39,K55101BT7496,0.2546648108308329,0.22056311550683008,0.5794296010352028,1등급,2등급,1등급
40,K55101BU1561,0.23129519171068705,0.11540122369438291,0.2391461222335473,2등급,3등급,2등급
41,K55101BU1595,0.243917031647309,0.19172642212536833,0.6030460269569258,2등급,2등급,1등급
42,K55101BV0893,0.2321281456191645,0.20181108407009993,0.3914075127806078,2등급,2등급,1등급
43,K55101BV0901,0.23196861567390994,0.2017573867012489,0.3908491808019033,2등급,2등급,1등급
44,K55101BV0919,0.2320797188492798,0.20178605880136685,0.3910921263628295,2등급,2등급,1등급
45,K55101BV0927,0.23211362903638214,0.20180269304164528,0.39140482214972155,2등급,2등급,1등급
