,code,std_3y,std_1y,var_3y,risk_std_3y,risk_std_1y,risk_var_3y
0,K55101AZ7044,0.10383319469740862,0.09268135673337491,0.2502164648633639,3등급,4등급,1등급
1,K55101B13659,0.09232686771767835,0.1647536943398056,0.19131884995360243,4등급,2등급,2등급
2,K55101B15233,0.09161832921152574,0.16328399345298045,0.16713358360288508,4등급,2등급,2등급
3,K55101B19631,0.10654068326281964,0.09263778985512346,0.24940398332210253,3등급,4등급,2등급
4,K55101B20308,0.06468231061962687,0.05905707360719276,0.13640395379190579,4등급,4등급,3등급
5,K55101B37674,0.03366119599523196,0.03366119599523196,0.04276066260626632,5등급,5등급,5등급
6,K55101B37708,0.03369863888315476,0.03369863888315476,0.04477994329416211,5등급,5등급,5등급
7,K55101B64918,0.06585111624858271,0.05909352418508322,0.1663970318004776,4등급,4등급,2등급
8,K55101B64926,0.06387791205661335,0.05911965235559708,0.13818423785308304,4등급,4등급,3등급
9,K55101B64942,0.06453416319029792,0.05909846479341106,0.13728828075128974,4등급,4등급,3등급
10,K55101BA1979,0.11602102211328895,0.11602102211328895,0.11394027145207614,3등급,3등급,3등급
11,K55101BF1693,0.117391762458372,0.10456731754846829,0.2867284247525337,3등급,3등급,1등급
12,K55101BP0693,0.03610586589872974,0.03610586589872974,0.06654603542618279,5등급,5등급,4등급
13,K55101BT5607,0.10711245324926076,0.07616218299132946,0.21204041624231745,3등급,4등급,2등급
14,K55101BT5615,0.1051024880280864,0.09265825596913939,0.2497737015547864,3등급,4등급,2등급
15,K55101BT5623,0.11292700615522659,0.10452581674897084,0.286271483296781,3등급,3등급,1등급
16,K55101BT5672,0.11466271453148334,0.08600455316426102,0.22148971824785402,3등급,4등급,2등급
17,K55101BT5730,0.10506242244582209,0.09346660161388179,0.2556751384399534,3등급,4등급,1등급
18,K55101BT5748,0.10554081190991854,0.09342699472917915,0.2551982346375629,3등급,4등급,1등급
19,K55101BT5755,0.11761198618459041,0.08946616116952563,0.24267465613618805,3등급,4등급,2등급
20,K55101BT5771,0.11834559053307409,0.08945175856736101,0.24233355346897525,3등급,4등급,2등급
21,K55101BV9761,0.14558757758734486,0.09024950836507704,0.2434512749603202,3등급,4등급,2등급
22,K55101BV9795,0.09767718596555153,0.09120632348065752,0.24840820561045426,4등급,4등급,2등급
23,K55101BV9811,0.08080041065011771,0.06803983385927431,0.18721824050366778,4등급,4등급,2등급
24,K55101BW5214,0.0815335815540697,0.06979148329665771,0.19144204930923006,4등급,4등급,2등급
25,K55101BW5222,0.08211098326449473,0.07022123974730125,0.19090337583302813,4등급,4등급,2등급
26,K55101BW5255,0.1291168198547681,0.084829677991048,0.21649356256706792,3등급,4등급,2등급
27,K55101BX6468,0.09488930491019136,0.07406787601893104,0.22062011763664555,4등급,4등급,2등급
28,K55101BX6476,0.09588789808467132,0.07404455018178924,0.22648506024522447,4등급,4등급,2등급
29,K55101BZ6870,0.10982557151760738,0.07613688928245893,0.21161262444901516,3등급,4등급,2등급
30,K55101CC5514,0.024846851214321838,0.016276261708789853,0.04804314178549934,5등급,5등급,5등급
31,K55101CC5522,0.01854163207517305,0.016295394915098186,0.03952113066181908,5등급,5등급,5등급
32,K55101CC5530,0.02038314079819563,0.016296217291923935,0.04708103245511094,5등급,5등급,5등급
33,K55101CC5555,0.01844741546964357,0.01631000501358874,0.04036863882707306,5등급,5등급,5등급
34,K55101CC5563,0.0193362140724798,0.016294292532136136,0.04741380419638691,5등급,5등급,5등급
35,K55101CC5571,0.021434795559517036,0.016288887459029823,0.04681460008591491,5등급,5등급,5등급
36,K55101CC5597,0.01867074438311248,0.016307969525793428,0.04011661145191658,5등급,5등급,5등급
37,K55101CC5605,0.01945680824682657,0.016301007327834405,0.047227855690322375,5등급,5등급,5등급
38,K55101CC5613,0.01923464164356883,0.01630222556674522,0.047406340183636334,5등급,5등급,5등급
39,K55101CC5621,0.020325987088703347,0.016286157040634443,0.047100640516019504,5등급,5등급,5등급
40,K55101CC5639,0.018224505244534003,0.01629672590742826,0.04778651107523315,5등급,5등급,5등급
41,K55101CC5647,0.0184242681355944,0.016287715430572565,0.039004215230993365,5등급,5등급,5등급
42,K55101CC5654,0.018599050956123533,0.016293513140092076,0.0387826947066638,5등급,5등급,5등급
43,K55101CR9451,0.14912894004344807,0.20658518439004978,0.44345102261686525,3등급,2등급,1등급
44,K55101CR9519,0.14925901770225838,0.2067698275935392,0.4445526239292976,3등급,2등급,1등급
