,code,std_3y,std_1y,var_3y,risk_std_3y,risk_std_1y,risk_var_3y
0,K55101AZ9057,0.04849321589898751,0.022992491058244777,0.08480860210223808,5등급,5등급,4등급
1,K55101AZ9420,0.05568266167998906,0.02095943014438338,0.07797828589511856,4등급,5등급,4등급
2,K55101AZ9438,0.05312906444000119,0.020980525720020664,0.07883784875952758,4등급,5등급,4등급
3,K55101AZ9453,0.047942202236952385,0.021000613456698562,0.07993778433085043,5등급,5등급,4등급
4,K55101AZ9487,0.056390275959152455,0.020980120032115242,0.07865119286799446,4등급,5등급,4등급
5,K55101AZ9503,0.05434488096489234,0.020980178738151226,0.07869960445516495,4등급,5등급,4등급
6,K55101B46220,0.043528293895079596,0.021103470154684768,0.07804637599031099,5등급,5등급,4등급
7,K55101B46238,0.039334140520055835,0.021122148810059468,0.07917895192819673,5등급,5등급,4등급
8,K55101B47624,0.05132405328179804,0.020993793827644623,0.07942756051030864,4등급,5등급,4등급
9,K55101B47632,0.055729877089669394,0.020980446107204887,0.07899241487273713,4등급,5등급,4등급
10,K55101B47640,0.05463786951301681,0.02097288453721169,0.07873357209330398,4등급,5등급,4등급
11,K55101B60809,0.04451533687154585,0.020979606118116546,0.07872188896312132,5등급,5등급,4등급
12,K55101B60833,0.04108748172729173,0.020991098656545908,0.07932676887806035,5등급,5등급,4등급
14,K55101BL1869,0.01639212045458717,0.005570176295454416,0.018139745849736034,5등급,5등급,5등급
15,K55101BY2078,0.06603028639480286,0.050724939750864735,0.12423992637112889,4등급,4등급,3등급
16,K55101BY4603,0.0653502944574997,0.049911914473637124,0.12300162939381326,4등급,5등급,3등급
17,K55101BY4645,0.036308694211891444,0.049726823307121956,0.08367140824913288,5등급,5등급,4등급
18,K55101BY4652,0.0454974628967827,0.049707305992681555,0.11442449882018826,5등급,5등급,3등급
19,K55101BY4660,0.06530100447921071,0.04970977786131177,0.12344615191716603,4등급,5등급,3등급
20,K55101BY4694,0.06532255129986266,0.04972836726254146,0.12412674446885717,4등급,5등급,3등급
21,K55101BY4710,0.06531614647196164,0.04972345944820734,0.12375407596215737,4등급,5등급,3등급
22,K55101BY4728,0.06531681499363619,0.04973425687722895,0.1239223105854224,4등급,5등급,3등급
23,K55101BY4785,0.06530682461749775,0.04971780886864974,0.12364926494678258,4등급,5등급,3등급
24,K55101BY4843,0.0655134929833653,0.04970405356141369,0.12312613564687297,4등급,5등급,3등급
