,code,std_3y,std_1y,var_3y,risk_std_3y,risk_std_1y,risk_var_3y
0,K55101B26297,0.3883280144765182,0.3207873289254656,0.8249908594129878,1등급,1등급,1등급
1,K55101B79148,0.23741143655985872,0.24585480102580534,0.5369616050093142,2등급,2등급,1등급
2,K55101B79155,0.22689560842242223,0.22957407726140197,0.47311251605454824,2등급,2등급,1등급
3,K55101B79163,0.2295133797196623,0.2296913401771644,0.47695664412665206,2등급,2등급,1등급
4,K55101B79171,0.22934994189976182,0.22953228233543,0.47598702462127807,2등급,2등급,1등급
5,K55101B79189,0.22982205216566298,0.22988718124999843,0.47821746411405586,2등급,2등급,1등급
6,K55101B79197,0.22959552329323957,0.22984692850570207,0.4779545440152483,2등급,2등급,1등급
7,K55101B79205,0.22966048581697923,0.22966239047568857,0.4767887191094319,2등급,2등급,1등급
8,K55101B79213,0.22748450388244462,0.22948936579901413,0.4757268388464052,2등급,2등급,1등급
9,K55101B79221,0.22942278001274108,0.22954752973337617,0.476110075708515,2등급,2등급,1등급
10,K55101B79239,0.22847797552530738,0.229369987291983,0.47509989036885253,2등급,2등급,1등급
11,K55101B79247,0.22786622537846823,0.22939356261424865,0.47506416791382067,2등급,2등급,1등급
12,K55101B79254,0.22848732433173038,0.2295008827415487,0.4757882739247544,2등급,2등급,1등급
13,K55101B79262,0.22680554880223489,0.23395609502551093,0.5107244236649667,2등급,2등급,1등급
14,K55101B79270,0.22790115216052517,0.23410021495683123,0.516499789232364,2등급,2등급,1등급
15,K55101B79288,0.22786963536430965,0.23392335781195187,0.5151200491432268,2등급,2등급,1등급
16,K55101B79296,0.22855382702073523,0.23435231903943482,0.5185098927946853,2등급,2등급,1등급
17,K55101B79304,0.2284045811614781,0.23428923041997055,0.5180647198297269,2등급,2등급,1등급
18,K55101B79312,0.22913372677648836,0.23407559406203246,0.5163043728782482,2등급,2등급,1등급
19,K55101B79320,0.2273747122442656,0.23387701882468168,0.5147324726220046,2등급,2등급,1등급
20,K55101B79338,0.2278518077995032,0.23394171897480556,0.5152556782130061,2등급,2등급,1등급
21,K55101B79353,0.22723224503212539,0.2337896298711421,0.5137626584247119,2등급,2등급,1등급
22,K55101B79361,0.22748321488148915,0.23389042470039587,0.514802748116763,2등급,2등급,1등급
23,K55101B87885,0.31624827425187413,0.20955772252936253,0.5520365829532683,1등급,2등급,1등급
24,K55101B87893,0.3048859849293029,0.20990914893999432,0.5546664402343223,1등급,2등급,1등급
25,K55101B87901,0.3090977012621348,0.2098074099441136,0.5539253202267566,1등급,2등급,1등급
26,K55101B87927,0.30621559151302513,0.20990282273037966,0.5545548589368486,1등급,2등급,1등급
27,K55101B87950,0.31003999978510655,0.20975684232170508,0.5535355773761795,1등급,2등급,1등급
28,K55101B97199,0.2556868329002452,0.26436209136632666,0.5169866166517982,1등급,1등급,1등급
29,K55101BA8230,0.2310859713889982,0.21782997393015313,0.483407474925437,2등급,2등급,1등급
30,K55101BB9567,0.28939722849948163,0.22822985538044996,0.4902860067337815,1등급,2등급,1등급
31,K55101BB9575,0.27825171161313045,0.22861953338799867,0.49274514948418324,1등급,2등급,1등급
32,K55101BD5035,0.1692644565314199,0.17229378431175527,0.40501682232601627,2등급,2등급,1등급
33,K55101BD5043,0.1899147823253096,0.19446816517157797,0.4207229599533368,2등급,2등급,1등급
34,K55101BD5076,0.19090874596228402,0.19480851937567145,0.4240901635516646,2등급,2등급,1등급
35,K55101BD5092,0.1906753908611764,0.19473290201048526,0.4233911038518338,2등급,2등급,1등급
36,K55101BD5118,0.19097085859241156,0.19490980596933724,0.42510215493939185,2등급,2등급,1등급
37,K55101BD5134,0.1908062689072288,0.19476079679349945,0.4237022116771336,2등급,2등급,1등급
38,K55101BD5159,0.11409461533296206,0.19465607553712994,0.32713192387053064,3등급,2등급,1등급
39,K55101BD5175,0.19090634380487725,0.19479171937784442,0.42390246741768783,2등급,2등급,1등급
40,K55101BD5217,0.19044313201288912,0.19472109582302455,0.4233072518306013,2등급,2등급,1등급
41,K55101BD5233,0.16098260211894785,0.19462135525113713,0.3726622580604342,2등급,2등급,1등급
42,K55101BD5282,0.19055658191100633,0.1947368824710316,0.4233976604013143,2등급,2등급,1등급
43,K55101BD5290,0.1903966737497796,0.19467983937385724,0.4230533117135675,2등급,2등급,1등급
44,K55101BD5308,0.1656083140429645,0.16867806056590579,0.3959748814947882,2등급,2등급,1등급
45,K55101BD5316,0.16663503321773426,0.1684499582727925,0.3984707620921929,2등급,2등급,1등급
46,K55101BD5324,0.1663039024364882,0.168363406260016,0.3979360334488484,2등급,2등급,1등급
47,K55101BD5332,0.16667643477129732,0.16852628884740228,0.39915456155567464,2등급,2등급,1등급
48,K55101BD5340,0.1665908616106822,0.16840079660770488,0.3981476426869317,2등급,2등급,1등급
49,K55101BD5365,0.1666023623494212,0.16843397720189576,0.3983036366904838,2등급,2등급,1등급
50,K55101BD5373,0.1662754790465313,0.1683594459755189,0.3978763208670283,2등급,2등급,1등급
51,K55101BD5381,0.15937972910531426,0.16831414697168565,0.31119925577234564,2등급,2등급,1등급
52,K55101BD5399,0.16641110884372992,0.16837963721167867,0.39793544909684264,2등급,2등급,1등급
53,K55101BD5407,0.1661920918169485,0.16834632329139368,0.3976830632573374,2등급,2등급,1등급
54,K55101BD5696,0.19098786907021625,0.19489751870998068,0.42490536954056357,2등급,2등급,1등급
55,K55101BD5704,0.19084875508868065,0.19486057633112883,0.42453937247622425,2등급,2등급,1등급
56,K55101BD5720,0.19094955403091904,0.19483961182773063,0.42431802128531554,2등급,2등급,1등급
57,K55101BD5738,0.19073548081974392,0.19478530599453892,0.4238744065928156,2등급,2등급,1등급
58,K55101BD5753,0.16669763230027326,0.16852931419231781,0.3990654358531465,2등급,2등급,1등급
59,K55101BD5761,0.1664978354646192,0.16850245366472977,0.3987376058484972,2등급,2등급,1등급
60,K55101BD5779,0.16665467339879622,0.16847323506068945,0.39861066738492124,2등급,2등급,1등급
61,K55101BD5787,0.16661897829543962,0.16843216279260714,0.3982877712277961,2등급,2등급,1등급
62,K55101BE0852,0.24327004010496872,0.24087804659989917,0.5683078313508915,2등급,2등급,1등급
63,K55101BF4176,0.27755000952391234,0.2286330891670691,0.4928909691453897,1등급,2등급,1등급
