,code,std_3y,std_1y,var_3y,risk_std_3y,risk_std_1y,risk_var_3y
0,K55101B55320,0.16483718108215248,0.17793937975661506,0.40358929359300955,2등급,2등급,1등급
1,K55101B55338,0.16440016738019675,0.1788014296869581,0.40556564054142424,2등급,2등급,1등급
2,K55101B55346,0.16459905879444764,0.17873413750313674,0.40507334570845965,2등급,2등급,1등급
3,K55101B55353,0.16431773121210866,0.17883379996345655,0.4061205153312356,2등급,2등급,1등급
4,K55101B55361,0.16435026543012843,0.1787504028378593,0.40536846142760463,2등급,2등급,1등급
5,K55101B55379,0.1505239910495008,0.21729937758004184,0.32211770875326146,2등급,2등급,1등급
6,K55101B60312,0.21301924874875,0.2246078178156761,0.5039254727796704,2등급,2등급,1등급
7,K55101B60320,0.21714472675308696,0.2244441320594612,0.5139459263953274,2등급,2등급,1등급
8,K55101B60338,0.21740027812802448,0.22459465250185198,0.523158071740915,2등급,2등급,1등급
9,K55101B63043,0.2128741582288139,0.2243893202148963,0.5029272578947813,2등급,2등급,1등급
10,K55101B68505,0.298624593603062,0.22457805285407673,0.5270560517390664,1등급,2등급,1등급
12,K55101BE0993,0.13388227379454337,0.1364811972105512,0.28826019697905153,3등급,3등급,1등급
13,K55101BE1009,0.1332608022499393,0.13679107038409963,0.2908301750151516,3등급,3등급,1등급
14,K55101BE1017,0.13510488823974198,0.13649162523619196,0.3039956430262522,3등급,3등급,1등급
15,K55101BE1025,0.13336219937507526,0.13732878890845404,0.2917451881863816,3등급,3등급,1등급
16,K55101BE1033,0.1335101317217595,0.13678147353438605,0.29077049472644084,3등급,3등급,1등급
17,K55101BE1041,0.05611821560820257,0.05611821560820257,0.0834746458529628,4등급,4등급,4등급
18,K55101BE1066,0.13348223952407717,0.13640343219419218,0.28979639876377955,3등급,3등급,1등급
20,K55101BE3260,0.13327482501263047,0.13689146663197868,0.29099102546505207,3등급,3등급,1등급
21,K55101BE3278,0.13392802049591826,0.13659094146427878,0.290444670953887,3등급,3등급,1등급
22,K55101BE3286,0.13353844397675402,0.1368786717067184,0.29097565912153234,3등급,3등급,1등급
23,K55101BL3196,0.18930055922036845,0.18930055922036845,0.4761589655079228,2등급,2등급,1등급
24,K55101BL3204,0.16410425123839836,0.17872288863462488,0.405165069235043,2등급,2등급,1등급
25,K55101BL5985,0.16424487636615548,0.17881042623081256,0.4056427880660524,2등급,2등급,1등급
26,K55101BP1790,0.1683435547709009,0.23670393713010995,0.37502645708365756,2등급,2등급,1등급
27,K55101BS2951,0.16080102428027343,0.16052862318235733,0.37981854768175916,2등급,2등급,1등급
28,K55101BS6820,0.16035862503838322,0.1614398871018301,0.38152324979829627,2등급,2등급,1등급
29,K55101BS6879,0.16009597649348117,0.16112067427478055,0.3805554407863162,2등급,2등급,1등급
30,K55101BS9956,0.16441459400398528,0.17874356203325778,0.4051359587533832,2등급,2등급,1등급
31,K55101BT4303,0.13441258233664904,0.13723581999631124,0.2903790075619616,3등급,3등급,1등급
32,K55101BT7470,0.2996119344337128,0.22446877412985122,0.5261904124016656,1등급,2등급,1등급
33,K55101C49412,0.16419227228027353,0.17872685091261378,0.40503158149804636,2등급,2등급,1등급
34,K55101C49420,0.16410319160105621,0.17870388962164827,0.40488566506747736,2등급,2등급,1등급
35,K55101D06766,0.3037861957529524,0.2244305550753591,0.5262771607708276,1등급,2등급,1등급
36,K55101DK9382,0.1327615581708097,0.14318597662027988,0.2292405894189189,3등급,3등급,2등급
37,K55101DK9390,0.13284078916495598,0.14327919580290407,0.23037844203740515,3등급,3등급,2등급
38,K55101DK9408,0.13281875924955444,0.14325180377765986,0.2300701744698301,3등급,3등급,2등급
39,K55101DK9424,0.13286417078010862,0.1432964286436126,0.23114821295379992,3등급,3등급,2등급
40,K55101DK9432,0.1328440879845667,0.14328412309176947,0.23047244216249896,3등급,3등급,2등급
43,K55101DV1956,0.09198403875831726,0.09198403875831726,0.1348811950191816,4등급,4등급,3등급
44,K55101DV1980,0.09201608697787965,0.09201608697787965,0.1352525005988813,4등급,4등급,3등급
45,K55101DV6823,0.18502142634077232,0.18502142634077232,0.23546402830278762,2등급,2등급,2등급
46,K55101DV6831,0.1366184542088067,0.1366184542088067,0.1747712513362588,3등급,3등급,2등급
47,K55101DV6849,0.13666660367369926,0.13666660367369926,0.17535848331934,3등급,3등급,2등급
49,K55101DV6872,0.12035726099678432,0.12035726099678432,0.13764382693049176,3등급,3등급,3등급
50,K55102B42763,0.12653068065299125,0.09638279073120662,0.23451447394233302,3등급,4등급,2등급
51,K55102B42771,0.1264731232792724,0.09625324825480144,0.2346860961521624,3등급,4등급,2등급
52,K55102B42789,0.13041465108986056,0.1021762868281313,0.23425218283280957,3등급,3등급,2등급
53,K55102B42813,0.126744758688671,0.09635171480147638,0.2345775525422039,3등급,4등급,2등급
54,K55102B42854,0.12650471300103214,0.0962830859112969,0.2351918680083568,3등급,4등급,2등급
55,K55102B42862,0.11946724504673363,0.07432570697665575,0.22528453026318826,3등급,4등급,2등급
56,K55102B42870,0.12662083347671824,0.09657488590616627,0.23436469678212118,3등급,4등급,2등급
57,K55102B42888,0.12724566840895504,0.09783311788109442,0.23338818992978377,3등급,4등급,2등급
58,K55102BB9426,0.051043986464615734,0.051043986464615734,0.07950007596750117,4등급,4등급,4등급
59,K55102BB9434,0.050451987582234244,0.050451987582234244,0.08078811278453568,4등급,4등급,4등급
60,K55102BB9442,0.050400314032142006,0.050400314032142006,0.08061406865441277,4등급,4등급,4등급
61,K55102BB9459,0.05259533237094355,0.05259533237094355,0.08698626313591638,4등급,4등급,4등급
62,K55102BB9467,0.051176688394561305,0.051176688394561305,0.08157479957548565,4등급,4등급,4등급
63,K55102BB9475,0.05078768521429397,0.05078768521429397,0.08129271026053196,4등급,4등급,4등급
64,K55102BB9483,0.050779379840835054,0.050779379840835054,0.08129271026053196,4등급,4등급,4등급
65,K55102BB9491,0.05046099477382445,0.05046099477382445,0.08079963379292034,4등급,4등급,4등급
66,K55102BB9525,0.05051933925012921,0.05051933925012921,0.08095515068456231,4등급,4등급,4등급
67,K55102BB9533,0.050443650619869995,0.050443650619869995,0.08077442135766989,4등급,4등급,4등급
68,K55102BU0265,0.12144464417037482,0.09649607085462099,0.24247060592066252,3등급,4등급,2등급
69,K55102BU0273,0.12678013829082416,0.0966750516459084,0.23428296787357775,3등급,4등급,2등급
70,K55102BU6197,0.05042047719011687,0.05042047719011687,0.08035820787921194,4등급,4등급,4등급
71,K55102CC6172,0.10249065363388538,0.10249065363388538,0.19614608798575575,3등급,3등급,2등급
72,K55102CC6180,0.10266053548230472,0.10266053548230472,0.19793229385216876,3등급,3등급,2등급
73,K55102CC6198,0.10259832693791471,0.10259832693791471,0.19742788420639118,3등급,3등급,2등급
74,K55102CC6206,0.10271566256475578,0.10271566256475578,0.19866569738888587,3등급,3등급,2등급
75,K55102CC6214,0.1052555141242759,0.1052555141242759,0.19866569738888587,3등급,3등급,2등급
76,K55102CC6248,0.1026197835163089,0.1026197835163089,0.19772191732444022,3등급,3등급,2등급
77,K55102CC6255,0.10256736905166693,0.10256736905166693,0.19695899482217416,3등급,3등급,2등급
78,K55102CC6263,0.10262694838662433,0.10262694838662433,0.19794758965356282,3등급,3등급,2등급
79,K55102CC6271,0.10796048151766081,0.10796048151766081,0.19868013444710442,3등급,3등급,2등급
80,K55102CC6289,0.10259791614946556,0.10259791614946556,0.19741988969664567,3등급,3등급,2등급
