,code,std_3y,std_1y,var_3y,risk_std_3y,risk_std_1y,risk_var_3y
0,K55101B55387,0.14220741397150718,0.14965033179456858,0.3595456983108027,3등급,3등급,1등급
1,K55101B55395,0.14094010338231788,0.1502553312711992,0.3609656317375997,3등급,2등급,1등급
2,K55101B55403,0.14126295081844123,0.15021707911024568,0.3605946894530561,3등급,2등급,1등급
3,K55101B55411,0.14093828173360387,0.1503262799493864,0.36160212049858914,3등급,2등급,1등급
4,K55101B55429,0.14121001608629988,0.1502468485932055,0.36093329160706145,3등급,2등급,1등급
5,K55101B55437,0.14088376006825795,0.15031310685897467,0.3615291797097604,3등급,2등급,1등급
6,K55101B55445,0.12332524738922064,0.17254110101001788,0.21183310379403947,3등급,2등급,2등급
7,K55101B55452,0.12396711611735829,0.18094921055569343,0.2242150977040108,3등급,2등급,2등급
8,K55101B87968,0.11757021606198739,0.08515847583504627,0.22608979057448964,3등급,4등급,2등급
9,K55101B87984,0.11051875742898987,0.08526286914790478,0.22797928194617736,3등급,4등급,2등급
11,K55101BB9609,0.11530531099837836,0.1234560921869631,0.22323321652352202,3등급,3등급,2등급
12,K55101BB9617,0.10571436569524009,0.1162879705691152,0.22516014303864318,3등급,3등급,2등급
14,K55101BL6769,0.14129236376146967,0.15024229057383195,0.36086928300221915,3등급,2등급,1등급
15,K55101BS9964,0.1420529909972829,0.15020732058938338,0.36059801756400117,3등급,2등급,1등급
16,K55101BV7674,0.10823615828575456,0.11827320802564502,0.22446385575779124,3등급,3등급,2등급
17,K55101BV7682,0.11247135943107729,0.08522768053527607,0.2274305632515654,3등급,4등급,2등급
18,K55101BY2060,0.09477241290886061,0.07985798037195938,0.16775822240836671,4등급,4등급,2등급
19,K55101BY3829,0.0931198815638448,0.07888254873644468,0.16590078039233433,4등급,4등급,2등급
20,K55101BY3837,0.06325127588188761,0.07841531869002097,0.13615720138138596,4등급,4등급,3등급
21,K55101BY3860,0.062366283609439854,0.07845141958382908,0.11623812108157917,4등급,4등급,3등급
22,K55101BY3886,0.08996239857589512,0.036255212466566766,0.13828322557221698,4등급,5등급,3등급
23,K55101BY3910,0.09307208926352352,0.07843621366897756,0.15911494138251128,4등급,4등급,2등급
