,code,std_3y,std_1y,var_3y,risk_std_3y,risk_std_1y,risk_var_3y
0,K55101BU8574,0.6930499986822095,1.0210237264128157,0.246416449539294,1등급,1등급,2등급
1,K55101BX3903,0.48762199951269475,1.0059328053643457,0.2432373382059771,1등급,1등급,2등급
2,K55101C30834,0.5736507249482032,1.0336632061498132,0.24680417585501052,1등급,1등급,2등급
3,K55101C30842,0.5745395177520487,1.0350998469296695,0.24811615663402722,1등급,1등급,2등급
4,K55101C30859,0.5740870633032659,1.0343106452458746,0.2474459675211541,1등급,1등급,2등급
5,K55101CG5254,0.19143961943403145,0.15944815197860177,0.278068371285664,2등급,2등급,1등급
6,K55101CJ9089,0.08059623943623606,0.07703028806487265,0.24864429870209245,4등급,4등급,2등급
7,K55101CP7820,0.07007958701256205,0.058220030738244395,0.21912158680621496,4등급,4등급,2등급
8,K55101CQ2382,0.06975997747166696,0.05650884887647582,0.21589304526344316,4등급,4등급,2등급
9,K55101CQ8124,0.07095443861541033,0.04897136808362556,0.1751774559238621,4등급,5등급,2등급
10,K55101CQ9536,0.07101659401967136,0.04898683039451412,0.17547612943430255,4등급,5등급,2등급
11,K55101CQ9544,0.07170705461673006,0.049618272550247235,0.1817705896981617,4등급,5등급,2등급
12,K55101CV7137,0.057414927786814306,0.051673275617394744,0.11767471898355246,4등급,4등급,3등급
13,K55101DS2447,0.05436559074157684,0.05436559074157684,0.12003909823483387,4등급,4등급,3등급
14,K55101DT4020,0.05440075939405986,0.05440075939405986,0.12094551958247354,4등급,4등급,3등급
15,K55102B45550,0.23565844292239663,0.19129961232309267,0.41802484822202846,2등급,2등급,1등급
16,K55102B45576,0.2356137954717737,0.19112108309927422,0.4178796905361853,2등급,2등급,1등급
17,K55102B45584,0.20962076067830937,0.15020382730405993,0.3389344897468262,2등급,2등급,1등급
18,K55102B45592,0.23743580934986178,0.07125779516698914,0.3442745418292539,2등급,4등급,1등급
19,K55102BF6907,0.23569504428706015,0.19136340577931552,0.4181925814885222,2등급,2등급,1등급
20,K55102BF6915,0.2356277158917516,0.1911969686865956,0.4177543465011392,2등급,2등급,1등급
21,K55102BT6562,0.23562571336840063,0.19125964792282174,0.41756872061790423,2등급,2등급,1등급
22,K55102BT6570,0.2350180922254913,0.19032512645199942,0.41748124250736024,2등급,2등급,1등급
23,K55102BU6205,0.2098116275380882,0.15014694593924752,0.3384614180067406,2등급,2등급,1등급
24,K55102BU6213,0.20961502961940487,0.1501682060166446,0.33854479996982606,2등급,2등급,1등급
25,K55102BU6221,0.20971414955856427,0.15022508099074275,0.339118032934555,2등급,2등급,1등급
26,K55102BU6239,0.20963487495010763,0.15016935363163017,0.33860887515968946,2등급,2등급,1등급
27,K55102D19627,0.16939326143744665,0.1989573297548544,0.3473057916548178,2등급,2등급,1등급
28,K55102D19635,0.16973728905213314,0.1988307455375016,0.34746595290077087,2등급,2등급,1등급
29,K55102D25905,0.16997372752617163,0.20037005768466712,0.347553775602453,2등급,2등급,1등급
30,K55102D25921,0.16874975383795904,0.19882602809741703,0.3449041458407869,2등급,2등급,1등급
31,K55102D25939,0.17042072985321557,0.20161237110493468,0.3461518783334484,2등급,2등급,1등급
32,K55102D26192,0.16954782548052139,0.19942377661961866,0.3480504619949429,2등급,2등급,1등급
33,K55102D26895,0.16756829763966222,0.1988988843992323,0.3517811020157594,2등급,2등급,1등급
34,K55102D26903,0.16926959085634055,0.19937949720088272,0.3461304619701397,2등급,2등급,1등급
35,K55102D26911,0.16161100704361742,0.16544182064763416,0.3097863333168645,2등급,2등급,1등급
36,K55102D26929,0.16902286307795725,0.19905910142645045,0.35082610347778564,2등급,2등급,1등급
37,K55102D26937,0.1697803194612352,0.19882373787279814,0.3490427014384171,2등급,2등급,1등급
38,K55102D26945,0.16739604046479603,0.1991119058852686,0.32619471687523843,2등급,2등급,1등급
39,K55102D26978,0.1695366779649917,0.20041178105734725,0.3956452002388349,2등급,2등급,1등급
40,K55102D27042,0.1926392103983866,0.20181884739079942,0.4244830326073363,2등급,2등급,1등급
41,K55102D27067,0.17284003190842184,0.20162046994894292,0.38056526896860676,2등급,2등급,1등급
42,K55102DV7531,0.19536607048604926,0.19536607048604926,0.37205835359959394,2등급,2등급,1등급
43,K55104D49885,0.22390358742762945,0.2359154362925647,0.5137233329545107,2등급,2등급,1등급
44,K55104D49893,0.224480509457764,0.23591011285438204,0.5119986615900795,2등급,2등급,1등급
45,K55105CL2870,0.3156831415181012,0.14908365492130438,0.30428298234084594,1등급,3등급,1등급
46,K55105CL2888,0.1432865272644391,0.05423284527902175,0.2357762093586492,3등급,4등급,2등급
47,K55105CL2904,0.500013748228964,0.8898640814104852,0.8507939396485521,1등급,1등급,1등급
48,K55105CL2912,0.2028166011008498,0.26541088278246117,0.46268450010104156,2등급,1등급,1등급
49,K55105CL2920,0.3156376935497846,0.14951081664536411,0.305179570055694,1등급,3등급,1등급
50,K55105CL2938,0.3157809136733824,0.15005568066260785,0.3045653252177471,1등급,2등급,1등급
51,K55105CL2946,0.31574310892078294,0.1502066357340173,0.3043307472463772,1등급,2등급,1등급
52,K55105CL2953,0.31574852044830376,0.14951220382169506,0.30415709117747014,1등급,3등급,1등급
53,K55105CL2979,0.31589584648951574,0.1504127344431789,0.3041591270959365,1등급,2등급,1등급
54,K55105CL2987,0.31588765887682047,0.15045862399641102,0.30410746305252356,1등급,2등급,1등급
55,K55105CX8956,0.20634179367386524,0.12724111927173476,0.3122667075859034,2등급,3등급,1등급
56,K55105CX8964,0.2046885466396305,0.12737672659045296,0.26425745653364574,2등급,3등급,1등급
57,K55105CX8972,0.20502637491899095,0.12734700003335225,0.2647125855975612,2등급,3등급,1등급
58,K55105CX8998,0.20450685388186723,0.12741306093453772,0.2648012914235161,2등급,3등급,1등급
59,K55105CX9004,0.20484216199018848,0.12736141540770124,0.26399001749924567,2등급,3등급,1등급
60,K55105CX9020,0.2054141676515933,0.12731952967872476,0.2882660791086667,2등급,3등급,1등급
61,K55105CX9046,0.23729243641732076,0.08477057829145539,0.22084553645754973,2등급,4등급,2등급
62,K55105CX9053,0.20597302405176268,0.12740516698981535,0.26638875131632683,2등급,3등급,1등급
63,K55105CX9061,0.20490330250220423,0.12735991930556922,0.26389059440609813,2등급,3등급,1등급
64,K55105CX9079,0.2049394982693978,0.12734110363959011,0.2636312283181429,2등급,3등급,1등급
65,K55105CX9087,0.2051738977709036,0.12733831144972194,0.2733832760613256,2등급,3등급,1등급
66,K55105CX9095,0.2058249477622136,0.12797095108762743,0.2965167780701355,2등급,3등급,1등급
67,K55105D00448,0.22022023148869582,0.19719786153551394,0.463055178064815,2등급,2등급,1등급
68,K55105D00455,0.2387200499847688,0.2237181808010263,0.5104683255862127,2등급,2등급,1등급
69,K55105D00463,0.23898080969707763,0.22464294951634386,0.5135933861652479,2등급,2등급,1등급
70,K55105D00471,0.2402641625125845,0.22683916289624598,0.5136853015439947,2등급,2등급,1등급
71,K55105D00497,0.23957041506338222,0.226990532400976,0.5142982737769762,2등급,2등급,1등급
72,K55105D00505,0.2403028329460423,0.2268829381011511,0.5139975083323703,2등급,2등급,1등급
73,K55105D00521,0.4749684190434003,0.4749684190434003,1.149154085422541,1등급,1등급,1등급
74,K55105D00547,0.19452524528992873,0.22360171273592533,0.4527789025645281,2등급,2등급,1등급
75,K55105D00554,0.1947871074331981,0.22441605167233813,0.454779162268691,2등급,2등급,1등급
76,K55105D00562,0.19384431637891583,0.22687167856491927,0.44970647570954647,2등급,2등급,1등급
77,K55105D15560,0.2218927104608251,0.2434610808249069,0.533561067518753,2등급,2등급,1등급
78,K55105D15578,0.13962239619693562,0.1630736231115343,0.2922013493079484,3등급,2등급,1등급
79,K55105D45286,0.12880044078281655,0.1479435959441457,0.23401426225212082,3등급,3등급,2등급
80,K55105DJ9357,0.20340509158197906,0.22684747200284106,0.45918517549968113,2등급,2등급,1등급
81,K55105DJ9365,0.2007275318225113,0.22681014298976757,0.4563229883938934,2등급,2등급,1등급
82,K55203CO9287,0.1308436092917025,0.26056091597648284,0.03619038843776302,3등급,1등급,5등급
83,K55203CO9295,0.13202940977347574,0.2625360116049017,0.03768328145069572,3등급,1등급,5등급
84,K55203CO9303,0.12985648700905023,0.26354134164127435,0.03845094400760232,3등급,1등급,5등급
85,K55203CP0160,0.13429070238800017,0.2614178833242849,0.03682603924092212,3등급,1등급,5등급
86,K55203D63258,0.15516892773156019,0.18140994560265322,0.3751763217898921,2등급,2등급,1등급
87,K55203D63274,0.159575267205551,0.19285553671498867,0.33491805555247,2등급,2등급,1등급
88,K55203D63282,0.15770253833444273,0.19313831730172906,0.3374262639372333,2등급,2등급,1등급
89,K55203D63290,0.15950026585000668,0.19307003906057169,0.3367531984657031,2등급,2등급,1등급
90,K55203D63316,0.15911102697281773,0.19325849451063273,0.33804652626165477,2등급,2등급,1등급
91,K55203D63324,0.15937022531742676,0.1931127196456,0.33713895903062896,2등급,2등급,1등급
92,K55203D63373,0.15918644481058894,0.1931446084843046,0.33722778924171287,2등급,2등급,1등급
93,K55203D63381,0.15935667993780248,0.19307799303438705,0.33671360722876353,2등급,2등급,1등급
94,K55203D63399,0.15715894147674536,0.19311132993469626,0.3372791350934285,2등급,2등급,1등급
95,K55203D63407,0.15784173841332114,0.19306743311907262,0.3367882181200472,2등급,2등급,1등급
96,K55203D63415,0.15772797528186572,0.19308751585160006,0.33684015850006876,2등급,2등급,1등급
97,K55203D63423,0.15776878336372355,0.19305562138650947,0.3366890519327907,2등급,2등급,1등급
98,K55203D63431,0.15862436320273796,0.19302786607156674,0.336906186076739,2등급,2등급,1등급
99,K55203D63449,0.14835287571969613,0.17060899793494058,0.3656231882442865,3등급,2등급,1등급
100,K55203D63456,0.14601100271776452,0.1708762139608206,0.36855622730891224,3등급,2등급,1등급
101,K55203D63464,0.14616205012851563,0.17082203676583116,0.3678852446067934,3등급,2등급,1등급
102,K55203D63480,0.14809360989558304,0.170964906732216,0.36903642728465336,3등급,2등급,1등급
103,K55203D63498,0.14819818948227145,0.17080537571560053,0.36797752071097856,3등급,2등급,1등급
104,K55203D63506,0.14817278636227615,0.1707716476155923,0.3672069663830997,3등급,2등급,1등급
105,K55203D63548,0.14466142778670663,0.17086636437535024,0.36475048803774857,3등급,2등급,1등급
106,K55203D63555,0.1469997120396349,0.17081222350554548,0.3691711888300714,3등급,2등급,1등급
107,K55203D63563,0.1463765778173614,0.17085841906688934,0.3695487221259895,3등급,2등급,1등급
108,K55203D63571,0.14584296349031645,0.17079355204594268,0.3679311825099648,3등급,2등급,1등급
109,K55203D63589,0.14598215870450476,0.1707757720536033,0.36768926820762615,3등급,2등급,1등급
110,K55203D63597,0.14625587908382204,0.1707918416592731,0.36758586713099917,3등급,2등급,1등급
111,K55203D63605,0.14623453813861018,0.17079169573014763,0.36750912287392873,3등급,2등급,1등급
112,K55206CA1477,0.07658463679645067,0.034556214685201946,0.06988341661339748,4등급,5등급,4등급
113,K55206CA1485,0.07664663425467157,0.0345652753273356,0.07065524556633797,4등급,5등급,4등급
114,K55206CA1501,0.07662924933541838,0.03456698209543721,0.07042760518056798,4등급,5등급,4등급
115,K55206CA1519,0.07668605727231284,0.03456562039116071,0.07126907196141417,4등급,5등급,4등급
116,K55206CA1527,0.07664712066640479,0.034569967177284736,0.07073212557670602,4등급,5등급,4등급
117,K55206CA1535,0.07661877644714697,0.034569175658769144,0.07025069709102905,4등급,5등급,4등급
118,K55206CA1618,0.07663102816424591,0.03457105834697888,0.07044375639901725,4등급,5등급,4등급
119,K55206CA1626,0.07662527059152725,0.03456214905282279,0.07040186547712146,4등급,5등급,4등급
120,K55206CP6313,46.401779770513855,84.12515304901676,1.4329755069151753,1등급,1등급,1등급
121,K55206CU6209,0.06761081035980451,0.07745105096867759,0.1238053069098694,4등급,4등급,3등급
122,K55206CU6217,0.06777273863501163,0.0776616265385841,0.12495892013719798,4등급,4등급,3등급
