,code,std_3y,std_1y,var_3y,risk_std_3y,risk_std_1y,risk_var_3y
0,K55101B44423,0.34959619231100275,0.3417799240641212,0.6704132851455671,1등급,1등급,1등급
1,K55101B84817,0.23868373307450932,0.23868373307450932,0.6190139827625519,2등급,2등급,1등급
2,K55105B57004,0.14979199051852773,0.11415642529608867,0.37956774270850574,3등급,3등급,1등급
3,K55105BJ8567,0.6333895731911743,0.47466911399021533,1.2272561640821797,1등급,1등급,1등급
4,K55105BJ8583,0.08680604428838634,0.09557598918843535,0.17800506625950452,4등급,4등급,2등급
5,K55105BJ8591,0.17381703391206335,0.19237314286624443,0.36432943144280683,2등급,2등급,1등급
6,K55105BP4386,0.2267655027422488,0.25184215686976186,0.47068794766566596,2등급,1등급,1등급
7,K55205BU9049,0.14838830275507384,0.16027011405775526,0.3094627224595896,3등급,2등급,1등급
8,K55206B56275,0.17397958947782757,0.19223483449020723,0.363915434440349,2등급,2등급,1등급
9,K55223BD6572,0.307359692551696,0.4019123860005259,0.8066348117175318,1등급,1등급,1등급
10,K55223BJ2914,0.1692633552439947,0.14813284691865236,0.33787182359126783,2등급,3등급,1등급
11,K55223BJ2922,0.16925275040088,0.14810623040489698,0.33768231059307097,2등급,3등급,1등급
12,K55223BL8917,0.1693532591700762,0.14820591195513075,0.33875576837552007,2등급,3등급,1등급
13,K55223CJ0164,0.1692442935371814,0.14811840878637245,0.33772499909333337,2등급,3등급,1등급
14,K55223CL6811,0.19918069435404218,0.16274654450325432,0.40546207823468733,2등급,2등급,1등급
15,K55223CV8484,0.5988070685586819,0.5164068998101949,0.9514665311439776,1등급,1등급,1등급
16,K55229BJ2579,0.15896397842637722,0.13609098381456222,0.3095838854387055,2등급,3등급,1등급
17,K55229BX9352,0.1588967444737502,0.13604490635041955,0.3091230745033604,2등급,3등급,1등급
18,K55229BX9378,0.15890352966857305,0.13605955094961483,0.30924720679697554,2등급,3등급,1등급
19,K55229DL4512,0.018079829879337497,0.01868761225515086,0.04563586762373746,5등급,5등급,5등급
20,K55229DL4579,0.018086283436508657,0.01869269954321945,0.045949438114795405,5등급,5등급,5등급
21,K55229DL4603,0.0180829049196292,0.018687369888375126,0.04592587172033222,5등급,5등급,5등급
22,K55229DL4611,0.017072331572570442,0.016588953040950767,0.04072105585219105,5등급,5등급,5등급
23,K55229DL4629,0.01707344735840555,0.01659289165415805,0.04101437280148313,5등급,5등급,5등급
24,K55229DL4637,0.017074040046005243,0.016593927893582067,0.041014520107374275,5등급,5등급,5등급
25,K55301BH8488,0.2571804128688692,0.24994755829475196,0.6330138274143129,1등급,2등급,1등급
26,K55301BH8504,0.16184113379494955,0.1690326029271854,0.3387277400226835,2등급,2등급,1등급
27,K55301BK2361,0.173629840543757,0.18949636643371223,0.3384345978437387,2등급,2등급,1등급
28,K55301BS2827,0.28843886480618164,0.2617907098198083,0.5538765488665586,1등급,1등급,1등급
29,K55301BU4381,0.0509128202239943,0.0701166623825778,0.12054988020627601,4등급,4등급,3등급
30,K55301BU4399,0.052196510360757134,0.07009474829641799,0.12755622391556742,4등급,4등급,3등급
31,K55301BU4407,0.04523522083106812,0.06620460869575588,0.11286378732998739,5등급,4등급,3등급
32,K55301BU4415,0.04742642249558544,0.06618525566136604,0.12741170418394934,5등급,4등급,3등급
33,K55301C59425,0.09753711026665998,0.10406815078103984,0.18810836646883494,4등급,3등급,2등급
34,K55301C59433,0.2030350911757565,0.12650004279987367,0.34787034182695475,2등급,3등급,1등급
35,K55301CA2933,0.15674716013605833,0.14362583177840105,0.3209786661205443,2등급,3등급,1등급
36,K55301CM5189,0.16748612334017468,0.14728416460682522,0.33030610041136205,2등급,3등급,1등급
37,K55301DG0765,0.25035505861721014,0.25035505861721014,0.37781672009711353,1등급,1등급,1등급
38,K55301DG0773,0.24436911986545584,0.2494041489129804,0.3729482464726915,2등급,2등급,1등급
39,K55301DG0815,0.16844357764189297,0.16884423637807014,0.325184427649406,2등급,2등급,1등급
40,K55301DG0849,0.17025960048652367,0.16880800808906835,0.32724466922807466,2등급,2등급,1등급
41,K55301DW5178,0.18006787954561293,0.18006787954561293,0.21499850662023443,2등급,2등급,2등급
42,K55301DW5368,0.06931145488339806,0.06931145488339806,0.11731703780463144,4등급,4등급,3등급
43,K55301DW5384,0.17084801018056797,0.17084801018056797,0.1925712830014001,2등급,2등급,2등급
44,KR5105705846,0.16899449094149535,0.14779893098535118,0.33291444977931567,2등급,3등급,1등급
45,KR5105904548,0.5648982164877359,0.4670183466160756,1.1286022713838169,1등급,1등급,1등급
46,KR5105924298,0.5652017141098957,0.4673460485622901,1.1298867659140595,1등급,1등급,1등급
47,KR5105924306,0.5653642846150874,0.4674395921680955,1.1310375950369087,1등급,1등급,1등급
48,KR5105924314,0.5652322365860863,0.4673946982677254,1.1307291487488262,1등급,1등급,1등급
49,KR5105924330,0.565185572345026,0.46717955677358475,1.1297980248425772,1등급,1등급,1등급
50,KR5105A08898,0.25174911035567976,0.2489482502632129,0.479408712543438,1등급,2등급,1등급
51,KR5105A08930,0.21643586754643107,0.24157040975770463,0.3377645836622613,2등급,2등급,1등급
52,KR5105A43069,0.38842901478613306,0.31152199027537836,0.5529886943443427,1등급,1등급,1등급
53,KR5205789591,0.14828701992588217,0.16016512498955934,0.30834339343448297,3등급,2등급,1등급
54,KR5205798436,0.14840937251323968,0.16029323449353552,0.3097445996688563,3등급,2등급,1등급
55,KR5205798444,0.148502237449597,0.16041804169717386,0.31073038221896604,3등급,2등급,1등급
56,KR5205800950,0.14847421377447423,0.16038353588565593,0.31055304288565017,3등급,2등급,1등급
57,KR5205AR9864,0.14839788612696383,0.16029968402174896,0.30948861019374857,3등급,2등급,1등급
58,KR5205AS4682,0.1505973991638056,0.1621750041381559,0.3130525488929749,2등급,2등급,1등급
59,KR5206555108,0.275775592533479,0.25704559547549855,0.7088497424460035,1등급,1등급,1등급
60,KR5206555116,0.2764392397257066,0.25746585619796836,0.711843307159639,1등급,1등급,1등급
62,KR5206610077,0.27628292269485377,0.2573288096847358,0.7113687783903104,1등급,1등급,1등급
63,KR5206881009,0.2760811926857675,0.2572386907470919,0.7102618522246105,1등급,1등급,1등급
64,KR5206994091,0.08733865350039156,0.09567656427132087,0.1773386744984289,4등급,4등급,2등급
65,KR5206A96725,0.28028119530893897,0.2648354283211537,0.7195635714903958,1등급,1등급,1등급
66,KR5210285288,0.256839349285622,0.2927880079419514,0.5531381651057773,1등급,1등급,1등급
67,KR5210808022,0.19309994560710753,0.2008202334750544,0.3838365896158833,2등급,2등급,1등급
68,KR5210808030,0.19210258583046178,0.20005790489443795,0.38136581154321364,2등급,2등급,1등급
69,KR5210808048,0.19249137494610047,0.20045965320987655,0.38446956254698,2등급,2등급,1등급
70,KR5210808055,0.195159433950367,0.2110785774999753,0.38839666522997096,2등급,2등급,1등급
71,KR5210808063,0.19250902070327483,0.2004573304313599,0.38480253983203355,2등급,2등급,1등급
72,KR5210948661,0.4218873888032587,0.4503440818970364,0.8277827591615611,1등급,1등급,1등급
73,KR5210948679,0.42246195135584225,0.4509216985040801,0.8308380230176385,1등급,1등급,1등급
74,KR5210948695,0.4224012794169179,0.4508491123145166,0.8310549913013189,1등급,1등급,1등급
75,KR5210979971,0.14635743555220473,0.2351134415681375,0.31356650080627724,3등급,2등급,1등급
76,KR5210979989,0.1454765549324848,0.12933632602352704,0.2253167198642228,3등급,3등급,2등급
77,KR5210979997,0.5746972515223228,0.1798754547424694,0.3813588172003868,1등급,2등급,1등급
78,KR5210980003,0.19148767722612714,0.20049657892688436,0.38779516647558143,2등급,2등급,1등급
79,KR5210980029,0.24839235295940615,0.24839235295940615,0.41835604712482505,2등급,2등급,1등급
80,KR5210980037,0.43128264784428194,0.6360930583828857,0.8148943553645176,1등급,1등급,1등급
81,KR5210980045,0.42249977378452136,0.45094707754071417,0.8309938768440518,1등급,1등급,1등급
82,KR5210980086,0.25688769846027754,0.29284482342596746,0.5533824373472954,1등급,1등급,1등급
83,KR5210980094,0.19264037598034198,0.20061452506300892,0.38554187883424745,2등급,2등급,1등급
84,KR5210980102,0.6176223208279727,0.20056839384073577,0.28945216110030475,1등급,2등급,1등급
86,KR5210980128,0.19255324464813786,0.20051983596588088,0.38497671597129335,2등급,2등급,1등급
87,KR5210AM6421,0.19236162625546283,0.2002909049687515,0.3836616586087933,2등급,2등급,1등급
88,KR5210AM6645,0.2565518121761203,0.2925894767413737,0.5510725365412888,1등급,1등급,1등급
89,KR5210AM6694,0.422152815189695,0.45065990856691307,0.8298256693655066,1등급,1등급,1등급
90,KR5210AP4902,0.19231904808827985,0.20027075136114733,0.38347904618700274,2등급,2등급,1등급
91,KR5219803859,0.42494408353087015,0.45349343146850185,0.8345269046623002,1등급,1등급,1등급
92,KR5219803867,0.16855226574376436,0.2050191812121168,0.3751286208413796,2등급,2등급,1등급
93,KR5219803875,0.2562904193018427,0.29214181981514126,0.548986566812111,1등급,1등급,1등급
94,KR5219803883,0.19107908308142244,0.20003454890659586,0.3843568161948785,2등급,2등급,1등급
95,KR5219820234,0.25682286549818584,0.29278440260935173,0.5529162313078647,1등급,1등급,1등급
96,KR5219820259,0.256810830618844,0.2928062900053905,0.5527024372689664,1등급,1등급,1등급
97,KR5219820267,0.19142639960446295,0.20040430532684975,0.3874640395425075,2등급,2등급,1등급
98,KR5219820275,0.20006677238999054,0.20006677238999054,0.3423183931738576,2등급,2등급,1등급
99,KR5219820283,0.19142371581054418,0.2004128469570951,0.38748367967535674,2등급,2등급,1등급
100,KR5223147574,0.16933263615800137,0.148199467993408,0.3386214776366156,2등급,3등급,1등급
101,KR5223161104,0.2443850463362183,0.2764416115866587,0.49155461889447066,2등급,1등급,1등급
102,KR5223161112,0.2440211265952996,0.2762073986914331,0.49253385685326795,2등급,1등급,1등급
103,KR5223161138,0.24687312720328156,0.32789620661879887,0.4581226946721646,2등급,1등급,1등급
104,KR5223161146,0.24409493156786277,0.27628561302786425,0.49341468652092224,2등급,1등급,1등급
105,KR5223161153,0.2438397637265962,0.27594125392594054,0.49058686402681967,2등급,1등급,1등급
106,KR5223815626,0.16931448302885643,0.14817144851569772,0.3383232916914439,2등급,3등급,1등급
107,KR5223815634,0.16943804851480396,0.148289970884295,0.33980256118481467,2등급,3등급,1등급
108,KR5223815642,0.16938652412263921,0.14824679145037245,0.3393281437143867,2등급,3등급,1등급
109,KR5223837968,0.16911904156864946,0.14796420647254607,0.33596253963383504,2등급,3등급,1등급
110,KR5223980230,0.2441414602626205,0.2763213136862072,0.49371035659270923,2등급,1등급,1등급
111,KR5223980255,0.28199987113227465,0.37256253436686365,0.4506913382434009,1등급,1등급,1등급
112,KR5223980263,0.24415896405422854,0.2763465331370761,0.49364187647920776,2등급,1등급,1등급
113,KR5223980271,0.2441370139214689,0.27632324274557063,0.4935167278333525,2등급,1등급,1등급
114,KR5223980438,0.1694426117998928,0.1482809580200638,0.33972875267177394,2등급,3등급,1등급
115,KR5223980446,0.16943975621445284,0.1482810997021079,0.3396121412749198,2등급,3등급,1등급
116,KR5223980453,0.16942973596764443,0.1482689982906057,0.3394999834990426,2등급,3등급,1등급
117,KR5223980461,0.1694239734742849,0.1482619606024311,0.3393689641346379,2등급,3등급,1등급
118,KR5223A50123,0.16926415733040232,0.1480624253596881,0.33714802197300625,2등급,3등급,1등급
119,KR5223AP4402,0.16925952184730128,0.14810853124817336,0.33771664136402074,2등급,3등급,1등급
120,KR5223AP4477,0.24397996867247582,0.2761235901518064,0.4921097000917101,2등급,1등급,1등급
121,KR5225287949,0.5067212063297493,0.45922330196080297,1.1504867083770862,1등급,1등급,1등급
122,KR5225592546,0.25643119400429876,0.2492937703600592,0.6318475562554777,1등급,2등급,1등급
123,KR5225592553,0.2567991420581364,0.24963417639595126,0.6345782386877115,1등급,2등급,1등급
124,KR5225592561,0.2567311985810537,0.24955450909518395,0.6340363600864736,1등급,2등급,1등급
125,KR5225620966,0.15895979004176414,0.16871937663637207,0.33778752492238556,2등급,2등급,1등급
126,KR5225620974,0.15946597154129497,0.1689504123882796,0.34046229185073945,2등급,2등급,1등급
127,KR5225620982,0.15941243198055366,0.1688893882766919,0.33993333070014187,2등급,2등급,1등급
128,KR5225774011,0.15904006363036532,0.1687807281076263,0.33879755994231975,2등급,2등급,1등급
129,KR5225774029,0.2565532522376556,0.2494109154399347,0.6328639267139444,1등급,2등급,1등급
130,KR5225829328,0.15672568301213147,0.14360064387883964,0.3207106403419846,2등급,3등급,1등급
131,KR5225834112,0.1569462433426303,0.1437885902763989,0.32048020105261626,2등급,3등급,1등급
132,KR5225834344,0.15667299516397432,0.14354299361274586,0.31998812213587324,2등급,3등급,1등급
133,KR5225862782,0.15671971347767416,0.14359543438993466,0.3205096789574916,2등급,3등급,1등급
134,KR5225893951,0.1567847931979239,0.14366483209722203,0.3214092523080687,2등급,3등급,1등급
135,KR5225952104,0.15685109421239224,0.14372874420194792,0.3221160044153623,2등급,3등급,1등급
136,KR5225978547,0.15893703104111453,0.16877761949320016,0.33871337649985855,2등급,2등급,1등급
137,KR5225978554,0.25655577091150283,0.2494026252580756,0.6327961082129248,1등급,2등급,1등급
138,KR5225987118,0.20186566852434254,0.2154949093220481,0.4077544454233206,2등급,2등급,1등급
139,KR5225A16798,0.05088173158978381,0.07006511754183206,0.11942784612219062,4등급,4등급,3등급
140,KR5225A16806,0.04558421596225391,0.0661568778483745,0.11184796775531962,5등급,4등급,3등급
141,KR5225A17093,0.2114070340030011,0.25163028685961397,0.5010407033495845,2등급,1등급,1등급
142,KR5225A17119,0.1820478739914355,0.15873729098339598,0.3439880487754905,2등급,2등급,1등급
143,KR5229852383,0.15879912739300686,0.1359584965438496,0.30805715719924376,2등급,3등급,1등급
144,KR5229857937,0.15894332404943876,0.13609430785186016,0.3096784386819034,2등급,3등급,1등급
145,KR5229857945,0.15904678401790107,0.13617447131571828,0.31062887410521994,2등급,3등급,1등급
146,KR5229932599,0.15900476705891947,0.13614428465643527,0.3104761267926777,2등급,3등급,1등급
147,KR5229932607,0.1588847359488554,0.1360310767316586,0.3088823678521809,2등급,3등급,1등급
148,KR5229A35436,0.08211772039267082,0.08211772039267082,0.10614211058042687,4등급,4등급,3등급
149,KR5229A35766,0.07713980832996006,0.07713980832996006,0.10682124379846016,4등급,4등급,3등급
150,KR5229AQ6251,0.15890706042392783,0.13605888220291007,0.30919644837662597,2등급,3등급,1등급
151,KR5229AQ6277,0.15890031178767117,0.13606245787892388,0.3092434247420172,2등급,3등급,1등급
152,KR5301AB9295,0.19684889942598893,0.1916879879352013,0.36707278682627636,2등급,2등급,1등급
153,KR5301AR0072,0.15934989649254905,0.16881260881149077,0.3392039608637105,2등급,2등급,1등급
154,KR5301AR6947,0.2566149894338772,0.2494571894087208,0.6332682771428627,1등급,2등급,1등급
155,KR5307166946,0.11750843560080855,0.0835181815548742,0.2036738897979263,3등급,4등급,2등급
156,KR5307166953,0.11752885091697207,0.0836033356234479,0.20376330429828737,3등급,4등급,2등급
157,KR5307166961,0.11757239696056553,0.08356906373421354,0.2038342384162055,3등급,4등급,2등급
158,KR5307167365,0.11752983339278802,0.08362265041942066,0.20368084298781647,3등급,4등급,2등급
159,KR5307167373,0.11755689615838011,0.08364316291566541,0.2039098609164032,3등급,4등급,2등급
160,KR5307167498,0.12361810044689314,0.09330220900198835,0.23427443372418671,3등급,4등급,2등급
161,KR5307167506,0.12278225222632569,0.09241234053974376,0.22888418170979002,3등급,4등급,2등급
162,KR5307167514,0.12281378559245744,0.0924738098981771,0.22928212752080834,3등급,4등급,2등급
163,KR5307167522,0.12277060674587487,0.09239441108506491,0.22936124572754202,3등급,4등급,2등급
164,KR5307167530,0.1227766016141261,0.09231237855751957,0.22939034035362293,3등급,4등급,2등급
165,KR5307167548,0.12277281480555498,0.0924172270102832,0.229218289872025,3등급,4등급,2등급
