,code,std_3y,std_1y,var_3y,risk_std_3y,risk_std_1y,risk_var_3y
0,K55101BK6760,0.09500496174631949,0.08653759194513005,0.15923387109396075,4등급,4등급,2등급
1,K55101BK6778,0.09473339685306637,0.08617606669071252,0.15859674904585572,4등급,4등급,2등급
2,K55101BK6786,0.09470977726312568,0.08616573740842387,0.158430376938374,4등급,4등급,2등급
3,K55101BK6794,0.0947357219373055,0.08620966634614075,0.15912399344020914,4등급,4등급,2등급
4,K55101BK6802,0.09471957446644437,0.08618189969578219,0.1587026480069028,4등급,4등급,2등급
5,K55101BK6810,0.10487746666046205,0.18195385098019964,0.14074084200752454,3등급,2등급,3등급
6,K55101BK6828,0.0947339595176831,0.08620274856103825,0.15903587625352694,4등급,4등급,2등급
7,K55101BK6836,0.09473315823246685,0.08620000884979376,0.158950960961182,4등급,4등급,2등급
8,K55101BK6851,0.09475147314911109,0.08617445688725495,0.1583096535634189,4등급,4등급,2등급
9,K55101BK6869,0.09478693155107457,0.08617089256975134,0.15829403477325732,4등급,4등급,2등급
10,K55101BK6877,0.0947773455062142,0.0861722532190813,0.1584515096042969,4등급,4등급,2등급
11,K55101BK6885,0.1561481860308018,0.14817350320797662,0.3261457769568923,2등급,3등급,1등급
12,K55101BK6893,0.15601532803501558,0.14797023863740202,0.3277701111675472,2등급,3등급,1등급
13,K55101BK6901,0.15598298708306085,0.14792507496107432,0.3272170454618881,2등급,3등급,1등급
14,K55101BK6919,0.15604314603191935,0.14801818218645,0.3283430623838056,2등급,3등급,1등급
15,K55101BK6927,0.15599043840889928,0.14795072890886726,0.32743641587324446,2등급,3등급,1등급
16,K55101BK6935,0.16578668564059426,0.22729223656678355,0.30368878703839275,2등급,2등급,1등급
17,K55101BK6943,0.1560467491850901,0.1480077493597906,0.3282618259152825,2등급,3등급,1등급
18,K55101BK6950,0.15602514568588155,0.14797836267636438,0.32791539959724025,2등급,3등급,1등급
19,K55101BK6984,0.1149352668005337,0.14788850628460107,0.23839294679022188,3등급,3등급,2등급
20,K55101BK6992,0.15597786038340333,0.14791640640851164,0.32712497948137637,2등급,3등급,1등급
21,K55101BK7008,0.15596783072701903,0.14791110288024714,0.32707653181431007,2등급,3등급,1등급
22,K55101BK7016,0.15797986068487513,0.15440467088979104,0.3335383421701637,2등급,2등급,1등급
23,K55101BK7024,0.1578534601239419,0.15423281183147836,0.3351865954157676,2등급,2등급,1등급
24,K55101BK7032,0.15781878985066203,0.15418755065453374,0.33461819078201654,2등급,2등급,1등급
25,K55101BK7040,0.15787891567648718,0.15428300892100177,0.33567312404878763,2등급,2등급,1등급
26,K55101BK7057,0.15783721107331655,0.1542134172994266,0.334873407041304,2등급,2등급,1등급
27,K55101BK7065,0.16543192927171566,0.2266482806914239,0.3049775591808554,2등급,2등급,1등급
28,K55101BK7073,0.1578842819186649,0.15426896856844818,0.33565176776946604,2등급,2등급,1등급
29,K55101BK7081,0.1578657546973499,0.15424046592142204,0.33532651581445105,2등급,2등급,1등급
30,K55101BK7107,0.15779814260755143,0.15414514697588594,0.33410617172449764,2등급,2등급,1등급
31,K55101BK7115,0.1578113002779077,0.15418106807744372,0.33445930955501335,2등급,2등급,1등급
32,K55101BK7131,0.15781014875337585,0.1541680087998515,0.3344321145481649,2등급,2등급,1등급
33,K55101BK7313,0.13328983145014534,0.12107145767391496,0.26682627508476586,3등급,3등급,1등급
34,K55101BK7321,0.13311658730080755,0.12081689653146757,0.2677660675412632,3등급,3등급,1등급
35,K55101BK7339,0.13310184034251293,0.12079903598718521,0.2674179557955579,3등급,3등급,1등급
36,K55101BK7347,0.13313770627557228,0.1208510722382369,0.26824811734339454,3등급,3등급,1등급
37,K55101BK7354,0.13311774021611997,0.12082072874892033,0.26770278421737553,3등급,3등급,1등급
38,K55101BK7362,0.143347934137122,0.19838291966834548,0.23462799959884634,3등급,2등급,2등급
39,K55101BK7370,0.13313499726663658,0.12084488413220294,0.26823162140072965,3등급,3등급,1등급
40,K55101BK7388,0.13312860466914367,0.12083719834770638,0.2680461222907828,3등급,3등급,1등급
41,K55101BK7404,0.13313518484127826,0.12082268473725052,0.26727555090917926,3등급,3등급,1등급
42,K55101BK7412,0.13315069728729392,0.12083311587054102,0.2670983944204383,3등급,3등급,1등급
43,K55101BK7420,0.13310682362692025,0.12080052440877201,0.26745154957950784,3등급,3등급,1등급
44,K55101BK7438,0.14589147196654859,0.13742905165137004,0.3007121369957492,3등급,3등급,1등급
45,K55101BK7446,0.14573440821291192,0.13720970639129768,0.3021175557163168,3등급,3등급,1등급
46,K55101BK7453,0.14571643209991256,0.13718508158368803,0.3017126333494103,3등급,3등급,1등급
47,K55101BK7461,0.14576815759151993,0.1372529085936016,0.30273848279216087,3등급,3등급,1등급
48,K55101BK7479,0.09907430478449832,0.13719605060367587,0.22250508542924252,4등급,3등급,2등급
49,K55101BK7487,0.155392594647856,0.21346236850877223,0.27367288005929225,2등급,2등급,1등급
50,K55101BK7495,0.14575816480983583,0.13723971218676817,0.302589534479586,3등급,3등급,1등급
51,K55101BK7503,0.1457408850837825,0.1372188768457893,0.3022879808983132,3등급,3등급,1등급
52,K55101BK7529,0.1457276449295067,0.13723636933013725,0.3010410308966676,3등급,3등급,1등급
53,K55101BK7537,0.14571376203473496,0.13717693102895565,0.3015833709396398,3등급,3등급,1등급
54,K55101BK7545,0.1457079727956595,0.1371752907257765,0.30150706660096394,3등급,3등급,1등급
55,K55101BK8311,0.0984145441548931,0.08903945072072735,0.1684451623017135,4등급,4등급,2등급
56,K55101BK8329,0.0982279780503165,0.08881310611710105,0.16921633291430974,4등급,4등급,2등급
57,K55101BK8337,0.09822394786701119,0.08879399642784797,0.16907430010825097,4등급,4등급,2등급
58,K55101BK8352,0.12515328610291085,0.17446176631026733,0.19018780330987223,3등급,2등급,2등급
59,K55101BK8360,0.11572321929987463,0.10179509241741731,0.22097446530016038,3등급,3등급,2등급
60,K55101BK8378,0.11571748136005648,0.10177967356526117,0.22080638490402527,3등급,3등급,2등급
61,K55101BK8394,0.09824904602201236,0.0888407863187426,0.16974816136974832,4등급,4등급,2등급
62,K55101BK8402,0.09823189224245805,0.08881098704289728,0.16931195281810713,4등급,4등급,2등급
63,K55101BK8410,0.04333108671314868,0.029697119999409567,0.03979028145776462,5등급,5등급,5등급
64,K55101BK8428,0.09824281149594007,0.08882795103060986,0.16972867424266241,4등급,4등급,2등급
65,K55101BK8436,0.09824036000844075,0.08882736985757225,0.16950756599472086,4등급,4등급,2등급
66,K55101BK8469,0.09827500038508957,0.0888478165389519,0.16888935694174564,4등급,4등급,2등급
67,K55101BK8477,0.10009658730577133,0.08880221670830875,0.22549588956763106,3등급,4등급,2등급
68,K55101BK8485,0.11569618455074818,0.10174936037444958,0.22005663693345676,3등급,3등급,2등급
69,K55101BK8493,0.0982439862159228,0.088803806007587,0.16892601194172588,4등급,4등급,2등급
70,K55101BK8527,0.11588320559811344,0.10200710149615459,0.21964482038731062,3등급,3등급,2등급
71,K55101BK8543,0.11571549883875537,0.1017785328852996,0.22047473391274933,3등급,3등급,2등급
72,K55101BK8568,0.11570310073442867,0.10175708228470857,0.22027875775402914,3등급,3등급,2등급
73,K55101BK8584,0.1157312610930997,0.1017976326243514,0.22106156619335654,3등급,3등급,2등급
74,K55101BK8592,0.11571526708872386,0.1017775975454209,0.22057714921054197,3등급,3등급,2등급
75,K55101BK8600,0.11570010627676205,0.10175454300468882,0.22019877937071378,3등급,3등급,2등급
76,K55101BK8626,0.11568933594474345,0.10175932157243184,0.2201598956430182,3등급,3등급,2등급
77,K55101BR9643,0.10141046852775554,0.0911206050811541,0.1732894985668267,3등급,4등급,2등급
78,K55101BR9650,0.12471623559350703,0.08925991114094702,0.24525008811095744,3등급,4등급,2등급
