code,std_1y,var_1y,std_3y,var_3y,risk_std_1y,risk_std_3y,risk_var_3y
K55101C81274,0.037712186590192626,0.06478897918501222,0.02452832439599785,0.039340865684586834,5등급,5등급,5등급
K55101C81308,0.09154094184326061,0.15176411812934595,0.06396524501059718,0.11638043216023525,4등급,4등급,4등급
K55101CG7292,0.0028480343397576193,0.0010953173604331444,0.022164853160823696,0.006208551021988556,6등급,5등급,5등급
K55101CG7367,0.002833012661830837,0.0013683764815845699,0.02083664582418914,0.006494352286736017,6등급,5등급,5등급
K55101CG7375,0.002832873653837561,0.0012968184368108825,0.021219863204669287,0.006388303171648588,6등급,5등급,5등급
K55101CG7383,0.002838250301446174,0.00122546373796994,0.021521866615916,0.006316139125442838,6등급,5등급,5등급
K55101CG7391,0.0028414593841822283,0.0012253916186359924,0.021563050567430953,0.006315893598252358,6등급,5등급,5등급
K55101CH5253,0.002836621198680918,0.001225331525675941,0.02160385573398585,0.0063488944408221955,6등급,5등급,5등급
K55101D01981,0.14159105525802312,0.30722346925196414,0.13063641668588982,0.29686192844433223,4등급,4등급,3등급
K55101D02005,0.1417593957762958,0.3090719091196948,0.13075777970116004,0.29892635769859277,4등급,4등급,3등급
K55101D02021,0.1417934823333423,0.3095194471691839,0.13078131514699115,0.2994156695769947,4등급,4등급,3등급
K55104CC3961,0.008682220290180743,0.025721190481383698,0.022774387377926607,0.024437248340311822,5등급,5등급,5등급
K55104CC4076,0.008676253359877008,0.02589393593955576,0.021742490359009006,0.024607915879183984,5등급,5등급,5등급
K55104CC4092,0.008679960464187326,0.02589118086045939,0.021793194574128625,0.02460531132703056,5등급,5등급,5등급
K55104CH3768,0.002962247617610958,0.003911316752676961,0.017296778343840354,0.004701132681020466,6등급,5등급,6등급
K55104CH3818,0.002960252150423369,0.004125365746757346,0.01631891549530703,0.004952626703678166,6등급,5등급,6등급
K55104CH3834,0.0029573017576226073,0.004125176647927371,0.016378808474408552,0.004915616309139806,6등급,5등급,6등급
K55104D88149,0.003174107360117419,0.005265883530507109,0.008816152155349902,0.007899566104358314,6등급,5등급,5등급
K55104D88164,0.0031659767041805876,0.005265883530507109,0.008814795723171514,0.007899604787165773,6등급,5등급,5등급
K55104D88198,0.003170622065430032,0.005413103986941981,0.008118324207726235,0.008049288334476655,6등급,5등급,5등급
K55104D88214,0.003173683295056735,0.005428819115863225,0.008170299982914962,0.008079064050594855,6등급,5등급,5등급
K55105B03925,0.21330828343319772,0.2829792579123544,0.2459212164655186,0.33048223761594353,3등급,3등급,3등급
K55105BG8438,0.4360829582650437,0.554792983462999,0.5397193161232537,0.6973107812401695,2등급,2등급,1등급
K55105BR3337,0.21313726917341674,0.28159070148422793,0.2457062753188456,0.3287363024900451,3등급,3등급,3등급
K55105C33649,0.21319199165842784,0.28181255108891134,0.24580427202977084,0.32922367684982085,3등급,3등급,3등급
K55105C33656,0.2131819761136452,0.2819903362334906,0.24568432417121266,0.3292525693848804,3등급,3등급,3등급
K55105C60402,0.037582503228311734,0.06429057036600974,0.024469990395640875,0.03878570328715819,5등급,5등급,5등급
K55105D66845,0.0009741103538945729,-0.0,0.014761174180106331,0.0075358718118284105,6등급,5등급,5등급
K55105D68270,0.0009792171630327222,-0.0,0.014068523182702799,0.007711821502703292,6등급,5등급,5등급
K55107CY3681,0.0016584415783046495,0.0009509320883107974,0.014533490768756275,0.004881315642305994,6등급,5등급,6등급
K55107CY3699,0.0016581074349188989,0.0011036664976595883,0.013753988087758285,0.005025537859176387,6등급,5등급,5등급
K55107CY3707,0.0016548824864086082,0.0010432756548658213,0.01383220096846425,0.004982636210445884,6등급,5등급,6등급
K55107CY3723,0.0016409549230808277,0.0013170796007090976,0.012443814249434528,0.005270902979386029,6등급,5등급,5등급
K55107CY3731,0.0016506827005925999,0.0011748373469351182,0.013173063506010427,0.005098161868577215,6등급,5등급,5등급
