code,std_1y,var_1y,std_3y,var_3y,risk_std_1y,risk_std_3y,risk_var_3y
K55101BV9704,0.040379337440563545,0.09855758732580827,0.04053296080802957,0.09130281196404286,5등급,5등급,4등급
K55101BV9712,0.04036375819456714,0.09805321802425665,0.031730521874275205,0.07891806843811713,5등급,5등급,4등급
K55102DK7773,0.029362388951184235,0.04633396489522134,0.023808181762384376,0.04570358533038414,5등급,5등급,5등급
K55102DK7781,0.029896213385798946,0.047261895395579526,0.024414378591878793,0.046647098042611156,5등급,5등급,5등급
K55102DK7799,0.029893236666945475,0.046967499172101426,0.02423709739105154,0.0463749626022894,5등급,5등급,5등급
K55102DK7807,0.02999103346288504,0.048242721589840075,0.02448980423631912,0.04761863374365679,5등급,5등급,5등급
K55102DK7815,0.0299075978844498,0.04727415957734336,0.0242487231729731,0.04667839824293591,5등급,5등급,5등급
K55102DK7823,0.029821240892481435,0.04718169754428631,0.024177050791734517,0.04654337088352945,5등급,5등급,5등급
K55102DK7849,0.02519472286106394,0.04659050610697518,0.01988287832305433,0.04615819721416703,5등급,5등급,5등급
K55102DK7856,0.02989012548314168,0.046977386433313374,0.024954013206391578,0.046479518195908065,5등급,5등급,5등급
K55102DK7864,0.0298919064357985,0.046944942289079916,0.02441166265125043,0.04629050138835126,5등급,5등급,5등급
K55104B00957,0.021443918058425156,0.0542153504545638,0.022902328670561856,0.050979607658507786,5등급,5등급,4등급
K55104BB8491,0.019824694003747544,0.041183001158332705,0.025918216410998552,0.06482874481883542,5등급,5등급,4등급
K55104BD1221,0.018904048251404657,0.03533341875171104,0.021560512525520936,0.05253396231173341,5등급,5등급,4등급
K55104BE9116,0.01983725567473031,0.04200188317150635,0.02613212044243537,0.05286122242152476,5등급,5등급,4등급
K55104BT7949,0.02142339630206524,0.05360987414643435,0.02391232272103222,0.05844935113288827,5등급,5등급,4등급
K55104BT9721,0.021424594917881557,0.053798670113855945,0.02304222513788348,0.05055961255961586,5등급,5등급,4등급
K55104C95104,0.019837292827477947,0.041508927573279834,0.026414845390465843,0.05223940375201936,5등급,5등급,4등급
K55104C95112,0.01983364108703067,0.041797414444082734,0.02406886787912003,0.05246229957401531,5등급,5등급,4등급
K55104CC7376,0.018916240415979092,0.03589553191378233,0.020517833698484995,0.03570518194160162,5등급,5등급,5등급
K55104CC7384,0.018912246805038013,0.03583037346693514,0.020970571731975713,0.04467283647589921,5등급,5등급,5등급
K55104CC7400,0.01891965480085193,0.03636691164938087,0.020666845874053975,0.0412699621535464,5등급,5등급,5등급
K55104CC7418,0.018911768081616154,0.03601828788351107,0.020453781345268846,0.03562931581143565,5등급,5등급,5등급
K55104CC7459,0.017684671710772305,0.03335876450110941,0.02035958281878758,0.047078850102718305,5등급,5등급,5등급
K55104CC7509,0.018916799934706786,0.03573055710774575,0.02044590326567086,0.03551451673978967,5등급,5등급,5등급
K55104CC7517,0.018914202526081503,0.03568845161327421,0.01665639009805863,0.030874487275102953,5등급,5등급,5등급
K55104CK0991,0.021431617365150007,0.05395995519059461,0.01642380454299682,0.033008689745234444,5등급,5등급,5등급
K55104DI1299,0.02950982662729888,0.04253565922501633,0.04653256453762647,0.06880930243413097,5등급,5등급,4등급
K55104DI1307,0.027531514350241464,0.04048264769754592,0.0457770227450766,0.05703025283416894,5등급,5등급,4등급
K55104DI1315,0.027628286545097972,0.040196202231910325,0.04581825766614964,0.05666214747872592,5등급,5등급,4등급
K55104DI1323,0.02755477291223045,0.041127202460292646,0.045807987361734,0.057623858755185386,5등급,5등급,4등급
K55104DI1331,0.02753033950202742,0.04053425718828365,0.045779935373021184,0.05702329459406346,5등급,5등급,4등급
K55104DI1349,0.02791738007036084,0.03982026194847393,0.04592112313686375,0.05629847441673131,5등급,5등급,4등급
K55104DI1356,0.027535448333202945,0.04056148280159121,0.045783517468125395,0.05710397986670383,5등급,5등급,4등급
K55104DI1372,0.027535868884235908,0.04071276715908263,0.04578234350064802,0.0571841255210703,5등급,5등급,4등급
K55104DI1380,0.027656333049451837,0.04012919627523495,0.04582406139127586,0.0565970734802473,5등급,5등급,4등급
K55104DN7737,0.029425226043979732,0.02288124218815272,0.029425226043979732,0.02288124218815272,5등급,5등급,5등급
K55104DN7745,0.029427076165257842,0.023889843555523777,0.029427076165257842,0.023889843555523777,5등급,5등급,5등급
K55104DN7752,0.02942417489783239,0.023794894208542545,0.02942417489783239,0.023794894208542545,5등급,5등급,5등급
K55104DN7760,0.029437562599369013,0.02496162725821327,0.029437562599369013,0.02496162725821327,5등급,5등급,5등급
K55104DN7778,0.029426894069060665,0.024410392365077166,0.029426894069060665,0.024410392365077166,5등급,5등급,5등급
K55104DN7786,0.029422363246431514,0.023716931064621683,0.029422363246431514,0.023716931064621683,5등급,5등급,5등급
