code,std_1y,var_1y,std_3y,var_3y,risk_std_1y,risk_std_3y,risk_var_3y
K55101AZ9057,0.02299249105824478,0.04514233632812833,0.04849321589898751,0.08480860210223808,5등급,5등급,4등급
K55101AZ9420,0.020959430144383374,0.04080160052144061,0.05568266167998911,0.07797828589511856,5등급,4등급,4등급
K55101AZ9438,0.020980525720020668,0.041541770799019995,0.053129064440001206,0.07883784875952758,5등급,4등급,4등급
K55101AZ9453,0.021000613456698562,0.04268408887992973,0.04794220223695237,0.07993778433085043,5등급,5등급,4등급
K55101AZ9487,0.02098012003211525,0.04141416302215526,0.05639027595915244,0.07865119286799446,5등급,4등급,4등급
K55101AZ9503,0.020980178738151226,0.0413733993099374,0.05434488096489234,0.07869960445516495,5등급,4등급,4등급
K55101B46220,0.02110347015468476,0.04098469490234367,0.04352829389507958,0.07804637599031099,5등급,5등급,4등급
K55101B46238,0.021122148810059468,0.04202625473665369,0.03933414052005584,0.07917895192819673,5등급,5등급,4등급
K55101B47624,0.020993793827644616,0.04208275669320251,0.051324053281798024,0.07942756051030864,5등급,4등급,4등급
K55101B47632,0.020980446107204894,0.04169584658233612,0.055729877089669394,0.07899241487273713,5등급,4등급,4등급
K55101B47640,0.020972884537211696,0.041405784140722796,0.05463786951301678,0.07873357209330398,5등급,4등급,4등급
K55101B60809,0.02097960611811655,0.04145205421001385,0.04451533687154583,0.07872188896312132,5등급,5등급,4등급
K55101B60833,0.020991098656545908,0.04205085568235231,0.041087481727291715,0.07932676887806035,5등급,5등급,4등급
K55101BL1869,0.005570176295454415,0.009355244720415948,0.016392120454587173,0.018139745849736034,5등급,5등급,5등급
K55101BY2078,0.050724939750864735,0.12686381784308554,0.06603028639480286,0.12423992637112889,4등급,4등급,3등급
K55101BY4603,0.04991191447363712,0.12487542811919357,0.06535029445749967,0.12300162939381326,5등급,4등급,3등급
K55101BY4645,0.04972682330712195,0.12606301519210222,0.03630869421189144,0.08367140824913288,5등급,5등급,4등급
K55101BY4652,0.04970730599268155,0.12495353493749739,0.04549746289678269,0.11442449882018826,5등급,5등급,3등급
K55101BY4660,0.04970977786131177,0.12528409684789155,0.06530100447921074,0.12344615191716603,5등급,4등급,3등급
K55101BY4694,0.04972836726254147,0.12603289744128743,0.06532255129986268,0.12412674446885717,5등급,4등급,3등급
K55101BY4710,0.04972345944820733,0.12565089050968228,0.06531614647196164,0.12375407596215737,5등급,4등급,3등급
K55101BY4728,0.04973425687722895,0.12588636503100026,0.06531681499363617,0.1239223105854224,5등급,4등급,3등급
K55101BY4785,0.04971780886864974,0.1255935311497212,0.06530682461749777,0.12364926494678258,5등급,4등급,3등급
K55101BY4843,0.04970405356141369,0.12524659062995283,0.06551349298336533,0.12312613564687297,5등급,4등급,3등급
K55101BY4850,0.04970854030201579,0.1254073182920761,0.06530348702016327,0.12348797874091076,5등급,4등급,3등급
K55101BY4868,0.049326549830674304,0.13041496087021714,0.0669554096835432,0.12719667095854448,5등급,4등급,3등급
K55101BY4876,0.04935899385267296,0.13114240791130724,0.06697322283376837,0.1279395865953876,5등급,4등급,3등급
K55101BY4884,0.05037978098956132,0.13348748188726242,0.05037978098956132,0.13348748188726242,4등급,4등급,3등급
K55101CI9601,0.12684168885829966,0.3177738499244056,0.11546495160386068,0.29206862801618655,3등급,3등급,2등급
K55101CP7606,0.12100630513320862,0.30189470897084164,0.10830902945183378,0.260112627983548,3등급,3등급,2등급
K55101CP7614,0.12107347527309374,0.3031030023132271,0.10903599090438854,0.2648443707651639,3등급,3등급,2등급
