code,std_1y,var_1y,std_3y,var_3y,risk_std_1y,risk_std_3y,risk_var_3y
K55101DC5760,0.039169889867212225,0.15345904755712098,0.032903586266001934,0.11864248252797985,5등급,5등급,3등급
K55203CE0163,0.6132836398437994,0.9102007113935614,0.5143355585498854,1.7884110282151202,1등급,1등급,1등급
K55210BM8648,0.05306127673396968,0.16106043051448946,0.03002603727599946,0.017816160882260713,4등급,5등급,5등급
K55210BM8655,0.04820516085983408,0.1051852371692702,0.027156598386056212,0.018463134579676955,5등급,5등급,5등급
K55210BM8663,0.04819638370134423,0.1051852371692702,0.027151928746831245,0.018463134579676955,5등급,5등급,5등급
K55210DN6987,0.1746256365950047,0.499740547463317,0.1746256365950047,0.499740547463317,2등급,2등급,1등급
K55210DN6995,0.1854879525914549,0.5162570805625215,0.1854879525914549,0.5162570805625215,2등급,2등급,1등급
K55210DN7001,0.188428956029824,0.5179898809446184,0.188428956029824,0.5179898809446184,2등급,2등급,1등급
K55210DN7027,0.18538789564212213,0.5150692628241511,0.18538789564212213,0.5150692628241511,2등급,2등급,1등급
K55210DN7035,0.1884367002494723,0.5175310188591041,0.1884367002494723,0.5175310188591041,2등급,2등급,1등급
K55210DN7068,0.1853560374485083,0.5150162455831232,0.1853560374485083,0.5150162455831232,2등급,2등급,1등급
K55210DN7076,0.18757179672186622,0.5093711037040548,0.18757179672186622,0.5093711037040548,2등급,2등급,1등급
K55210DN7084,0.18539463650935084,0.5151489185040042,0.18539463650935084,0.5151489185040042,2등급,2등급,1등급
K55210DN7092,0.188760117830018,0.5180287441448354,0.188760117830018,0.5180287441448354,2등급,2등급,1등급
K55210DN7100,0.17469042533322002,0.5004568554103559,0.17469042533322002,0.5004568554103559,2등급,2등급,1등급
K55210DN7126,0.17947131760414578,0.5044839526301881,0.17947131760414578,0.5044839526301881,2등급,2등급,1등급
K55210DN7134,0.1839861533121419,0.5101563863769891,0.1839861533121419,0.5101563863769891,2등급,2등급,1등급
K55210DN7142,0.18279808212485646,0.5118650737423008,0.18279808212485646,0.5118650737423008,2등급,2등급,1등급
K55223CJ6351,0.021634133597647657,0.08092005924359011,0.023829920082230137,0.08360114112823952,5등급,5등급,4등급
K55223CJ6369,0.021628693638968292,0.0820540848585402,0.023818657449730586,0.08476368482695956,5등급,5등급,4등급
K55223CJ6377,0.021629784366333053,0.08273805856399861,0.02381965989035092,0.08544814870590925,5등급,5등급,4등급
K55223CJ6385,0.021632381232884645,0.08156852054384896,0.023826832931289666,0.08426501865163366,5등급,5등급,4등급
K55223CS0338,0.7101440632461039,0.14042038183954608,0.3935073394024476,0.10730667308189393,1등급,1등급,3등급
K55223CS0353,0.7085843258407356,0.12997991143760207,0.392584922133558,0.09575074475928148,1등급,1등급,4등급
K55223CS0379,0.7092794628077288,0.12812741651449774,0.3929541207986045,0.09358944598858845,1등급,1등급,4등급
K55223CS0387,0.7091158529145721,0.13072277309660083,0.39288367361135895,0.09652991565203824,1등급,1등급,4등급
K55223CS0395,0.7091293599088421,0.13055415724401215,0.39288949580135996,0.09634007090983474,1등급,1등급,4등급
K55223CY2229,0.03476312696065689,-0.0,0.03549344894029095,0.05940764065001409,5등급,5등급,4등급
K55223CY2237,0.03484832353808485,-0.0,0.0354252856385512,0.05909552902603964,5등급,5등급,4등급
K55223CY2245,0.034807806647895775,-0.0,0.03571577906728598,0.06113027025638703,5등급,5등급,4등급
K55301BS7495,0.140820987100112,0.3319916077189242,0.13098195981911634,0.37152580728364276,3등급,3등급,1등급
K55301D16225,0.16663981966954555,0.5139138278681459,0.11721596220122538,0.2923373268208928,2등급,3등급,2등급
K55301D16233,0.1653135064111175,0.5161085697874466,0.11613770056797573,0.2955611045091357,2등급,3등급,2등급
K55301D16241,0.16586195264492457,0.5155912620777755,0.1168347320225026,0.2939318991253843,2등급,3등급,2등급
K55301D16266,0.1646727461172068,0.5167076189999665,0.1156434994748107,0.29615187948621596,2등급,3등급,2등급
K55301D16274,0.16523247213562606,0.5158397276561592,0.11646934345371682,0.2941498780547122,2등급,3등급,2등급
K55301D16308,0.1658860615695513,0.5150644497937331,0.11685464017100383,0.29338135259390574,2등급,3등급,2등급
K55301D16316,0.1655109315305525,0.5155819279265101,0.11512700985638487,0.29847312793963576,2등급,3등급,2등급
K55301D16324,0.16505825530545812,0.5163447461625095,0.11315450055216902,0.2969240299967615,2등급,3등급,2등급
K55301D16332,0.16548110393944232,0.5156770309681628,0.11660306935373382,0.29401927700293085,2등급,3등급,2등급
K55301D16340,0.16498042117324255,0.5162764786865816,0.1134740097506435,0.2980625076579037,2등급,3등급,2등급
K55301D47451,0.1656129232593269,0.5156241824052264,0.11713582017348895,0.29581858236357345,2등급,3등급,2등급
K55301D70768,0.18709060470092956,0.520598177947802,0.12817809304487926,0.30105803717467616,2등급,3등급,2등급
K55305BQ0175,0.45965697095380337,0.0681077052241836,0.24451986182545948,0.13042690726500047,1등급,2등급,3등급
K55305BQ0183,0.45989353191471766,0.06784750312725171,0.24455133162762527,0.12872992179064516,1등급,2등급,3등급
K55305BQ0191,0.4600270055901556,0.07266783399648707,0.24486579892707036,0.13636555408158574,1등급,2등급,3등급
K55305C16913,0.09963377161129801,-0.0,0.03614002178239827,0.10772619204977732,4등급,5등급,3등급
K55305C16921,0.09950511827528631,0.0004711929420926447,0.035951349622123215,0.1077875017016725,4등급,5등급,3등급
K55305C16939,0.10062001654002733,0.004814164297256623,0.037453838611760715,0.1138917707601913,3등급,5등급,3등급
K55305CZ1171,0.03837973397488458,0.1261334354281493,0.034543399191606095,0.12145737103266849,5등급,5등급,3등급
K55305CZ1197,0.03722084446424881,0.12321027702238253,0.03346302520044987,0.11855880361976803,5등급,5등급,3등급
K55305CZ1205,0.03913393826509074,0.12947351785476607,0.035247387065949674,0.12481806405284254,5등급,5등급,3등급
K55309DN7573,0.15530709073358342,0.40039066014986185,0.14913980109446706,0.3887888576326783,2등급,3등급,1등급
K55309DN7581,0.15543025127468194,0.4019738002358047,0.14925321212233394,0.3903335461973655,2등급,3등급,1등급
K55309DN7599,0.15541422837401278,0.40176220342596136,0.1492374095313159,0.39013021503720335,2등급,3등급,1등급
K55309DN7615,0.15545617900753922,0.4023864372543916,0.1492789689528662,0.39073656953732716,2등급,3등급,1등급
K55309DN7623,0.1554068804174323,0.40167194403283163,0.14923074382830126,0.3900449962808069,2등급,3등급,1등급
K55309DN7649,0.15543804475146897,0.4019608882363802,0.14907540485912854,0.3922746026539762,2등급,3등급,1등급
K55309DN7664,0.1554165124231005,0.4018501868917721,0.15373234469686445,0.3999128058044271,2등급,2등급,1등급
K55345BF4073,0.10117037857089539,0.0330207205129218,0.10521389899105514,0.10726592127348263,3등급,3등급,3등급
K55345BF4099,0.10135421947300856,0.03332104381583774,0.10515533194064544,0.09162586715786705,3등급,3등급,4등급
K55345BF4107,0.10136386616416077,0.033319355177639766,0.10520188430733356,0.09643809653957872,3등급,3등급,4등급
K55383BM0059,1.4066848578315405,0.11802501540548122,0.7269401626689649,0.10864159399541505,1등급,1등급,3등급
K55383BM0067,1.408128369441955,0.10524519499700374,0.7275386597211432,0.09354376174437577,1등급,1등급,4등급
K55383BM0075,1.4075333086981905,0.11049867027985577,0.7272890074214842,0.09974978730545397,1등급,1등급,4등급
K55383BR0393,0.052569669789814685,0.19876968154647062,0.051182287957033924,0.23331017819024713,4등급,4등급,3등급
K55383BR0401,0.0526357905191439,0.19941559202195697,0.05010362066589605,0.21666144361915904,4등급,4등급,3등급
K55383BR0419,0.05291196751025169,0.20051108983150376,0.05073285513389543,0.2240220517612217,4등급,4등급,3등급
